Specialization,Type,Name,Spell ID,Canonical ID,Rank,Learned Level,Description,Category,HUD Row,Cooldown,Duration,Resource Cost,Aura ID,Track Mode,Tags,Wowhead Source,Notes
Beast Mastery,Ability,Focus Fire,428726,428726,,,"Consumes all applications of Frenzy from your pet, increasing your ranged attack speed by 3% and granting your pet a focus regeneration bonus per stack consumed for 20 sec. Requires a pet.",Pet,Main,0,20,,,Cooldown + aura,"BUFF, HAS_BUFF, MINOR, PVE_PVP, REQUIRES_PET",https://www.wowhead.com/tbc/spell=428726,
Beast Mastery,Talent,Animal Handler,34453,34453,Rank 1/2,,Increases your speed while mounted by 4% and your pet's chance to hit by 2%. The mounted movement speed increase does not stack with other effects.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=34453,Talent: Animal Handler; tree row 6
Beast Mastery,Talent,Animal Handler,34454,34453,Rank 2/2,,Increases your speed while mounted by 8% and your pet's chance to hit by 4%. The mounted movement speed increase does not stack with other effects.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=34454,Talent: Animal Handler; tree row 6
Beast Mastery,Talent,Bestial Discipline,19590,19590,Rank 1/2,,Increases the Focus regeneration of your pets by 50%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19590,Talent: Bestial Discipline; tree row 5
Beast Mastery,Talent,Bestial Discipline,19592,19590,Rank 2/2,,Increases the Focus regeneration of your pets by 100%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19592,Talent: Bestial Discipline; tree row 5
Beast Mastery,Talent,Bestial Swiftness,19596,19596,Rank 1/1,,Increases the outdoor movement speed of your pets by 30%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19596,Talent: Bestial Swiftness; tree row 3
Beast Mastery,Talent Ability,Bestial Wrath,19574,19574,Rank 1/1,,"Send your pet into a rage causing 50% additional damage for 18 sec. While enraged, the beast does not feel pity or remorse or fear and it cannot be stopped unless killed.",Offensive,Main,120,18,10% of base mana,,Cooldown + aura,"DPS, HAS_BUFF, MAJOR, PET",https://www.wowhead.com/tbc/spell=19574,Talent-required | Talent: Bestial Wrath
Beast Mastery,Talent,Catlike Reflexes,34462,34462,Rank 1/3,,Increases your chance to dodge by 1% and your pet's chance to dodge by an additional 3%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=34462,Talent: Catlike Reflexes; tree row 7
Beast Mastery,Talent,Catlike Reflexes,34464,34462,Rank 2/3,,Increases your chance to dodge by 2% and your pet's chance to dodge by an additional 6%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=34464,Talent: Catlike Reflexes; tree row 7
Beast Mastery,Talent,Catlike Reflexes,34465,34462,Rank 3/3,,Increases your chance to dodge by 3% and your pet's chance to dodge by an additional 9%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=34465,Talent: Catlike Reflexes; tree row 7
Beast Mastery,Talent,Endurance Training,19583,19583,Rank 1/5,,Increases the Health of your pet by 2% and your total health by 1%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19583,Talent: Endurance Training; tree row 1
Beast Mastery,Talent,Endurance Training,19584,19583,Rank 2/5,,Increases the Health of your pet by 4% and your total health by 2%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19584,Talent: Endurance Training; tree row 1
Beast Mastery,Talent,Endurance Training,19585,19583,Rank 3/5,,Increases the Health of your pet by 6% and your total health by 3%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19585,Talent: Endurance Training; tree row 1
Beast Mastery,Talent,Endurance Training,19586,19583,Rank 4/5,,Increases the Health of your pet by 8% and your total health by 4%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19586,Talent: Endurance Training; tree row 1
Beast Mastery,Talent,Endurance Training,19587,19583,Rank 5/5,,Increases the Health of your pet by 10% and your total health by 5%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19587,Talent: Endurance Training; tree row 1
Beast Mastery,Talent,Ferocious Inspiration,34455,34455,Rank 1/3,,"When your pet scores a critical hit, all party members have all damage increased by 1% for 10 sec.",Talent Passive,Data only,,10,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=34455,Talent: Ferocious Inspiration; tree row 7
Beast Mastery,Talent,Ferocious Inspiration,34459,34455,Rank 2/3,,"When your pet scores a critical hit, all party members have all damage increased by 2% for 10 sec.",Talent Passive,Data only,,10,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=34459,Talent: Ferocious Inspiration; tree row 7
Beast Mastery,Talent,Ferocious Inspiration,34460,34455,Rank 3/3,,"When your pet scores a critical hit, all party members have all damage increased by 3% for 10 sec.",Talent Passive,Data only,,10,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=34460,Talent: Ferocious Inspiration; tree row 7
Beast Mastery,Talent,Ferocity,19598,19598,Rank 1/5,,Increases the critical strike chance of your pet by 2%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19598,Talent: Ferocity; tree row 4
Beast Mastery,Talent,Ferocity,19599,19598,Rank 2/5,,Increases the critical strike chance of your pet by 4%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19599,Talent: Ferocity; tree row 4
Beast Mastery,Talent,Ferocity,19600,19598,Rank 3/5,,Increases the critical strike chance of your pet by 6%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19600,Talent: Ferocity; tree row 4
Beast Mastery,Talent,Ferocity,19601,19598,Rank 4/5,,Increases the critical strike chance of your pet by 8%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19601,Talent: Ferocity; tree row 4
Beast Mastery,Talent,Ferocity,19602,19598,Rank 5/5,,Increases the critical strike chance of your pet by 10%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19602,Talent: Ferocity; tree row 4
Beast Mastery,Talent,Focused Fire,35029,35029,Rank 1/2,,All damage caused by you is increased by 1% while your pet is active and the critical strike chance of your Kill Command ability is increased by 10%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=35029,Talent: Focused Fire; tree row 2
Beast Mastery,Talent,Focused Fire,35030,35029,Rank 2/2,,All damage caused by you is increased by 2% while your pet is active and the critical strike chance of your Kill Command ability is increased by 20%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=35030,Talent: Focused Fire; tree row 2
Beast Mastery,Talent,Frenzy,19621,19621,Rank 1/5,,Gives your pet a 20% chance to gain a 30% attack speed increase for 8 sec after dealing a critical strike.,Talent Passive,Data only,,8,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19621,Talent: Frenzy; tree row 6
Beast Mastery,Talent,Frenzy,19622,19621,Rank 2/5,,Gives your pet a 40% chance to gain a 30% attack speed increase for 8 sec after dealing a critical strike.,Talent Passive,Data only,,8,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19622,Talent: Frenzy; tree row 6
Beast Mastery,Talent,Frenzy,19623,19621,Rank 3/5,,Gives your pet a 60% chance to gain a 30% attack speed increase for 8 sec after dealing a critical strike.,Talent Passive,Data only,,8,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19623,Talent: Frenzy; tree row 6
Beast Mastery,Talent,Frenzy,19624,19621,Rank 4/5,,Gives your pet a 80% chance to gain a 30% attack speed increase for 8 sec after dealing a critical strike.,Talent Passive,Data only,,8,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19624,Talent: Frenzy; tree row 6
Beast Mastery,Talent,Frenzy,19625,19621,Rank 5/5,,Gives your pet a 100% chance to gain a 30% attack speed increase for 8 sec after dealing a critical strike.,Talent Passive,Data only,,8,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19625,Talent: Frenzy; tree row 6
Beast Mastery,Talent,Improved Aspect of the Hawk,19552,19552,Rank 1/5,,"While Aspect of the Hawk is active, all normal ranged attacks have a 10% chance of increasing ranged attack speed by 3% for 12 sec.",Talent Passive,Data only,,12,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19552,Talent: Improved Aspect of the Hawk; tree row 1
Beast Mastery,Talent,Improved Aspect of the Hawk,19553,19552,Rank 2/5,,"While Aspect of the Hawk is active, all normal ranged attacks have a 10% chance of increasing ranged attack speed by 6% for 12 sec.",Talent Passive,Data only,,12,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19553,Talent: Improved Aspect of the Hawk; tree row 1
Beast Mastery,Talent,Improved Aspect of the Hawk,19554,19552,Rank 3/5,,"While Aspect of the Hawk is active, all normal ranged attacks have a 10% chance of increasing ranged attack speed by 9% for 12 sec.",Talent Passive,Data only,,12,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19554,Talent: Improved Aspect of the Hawk; tree row 1
Beast Mastery,Talent,Improved Aspect of the Hawk,19555,19552,Rank 4/5,,"While Aspect of the Hawk is active, all normal ranged attacks have a 10% chance of increasing ranged attack speed by 12% for 12 sec.",Talent Passive,Data only,,12,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19555,Talent: Improved Aspect of the Hawk; tree row 1
Beast Mastery,Talent,Improved Aspect of the Hawk,19556,19552,Rank 5/5,,"While Aspect of the Hawk is active, all normal ranged attacks have a 10% chance of increasing ranged attack speed by 15% for 12 sec.",Talent Passive,Data only,,12,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19556,Talent: Improved Aspect of the Hawk; tree row 1
Beast Mastery,Talent,Improved Aspect of the Monkey,19549,19549,Rank 1/3,,Increases the Dodge bonus of your Aspect of the Monkey by 2%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=19549,Talent: Improved Aspect of the Monkey; tree row 2
