Specialization,Type,Name,Spell ID,Canonical ID,Rank,Learned Level,Description,Category,HUD Row,Cooldown,Duration,Resource Cost,Aura ID,Track Mode,Tags,Wowhead Source,Notes
Balance,Ability,Hurricane,16914,16914,Rank 1,40,"Creates a violent storm in the target area causing 
72 Nature damage to enemies every 1 sec, and increasing the time between attacks of enemies by 25%. Lasts 10 sec. Druid must channel to maintain the spell.",Crowd Control,Utility,60,10,880 Mana,,Cooldown,"AOE, CC_SOFT, DPS, PVE",https://www.wowhead.com/tbc/spell=16914,
Balance,Ability,Hurricane,17401,16914,Rank 2,50,"Creates a violent storm in the target area causing 
102 Nature damage to enemies every 1 sec, and increasing the time between attacks by 25%. Lasts 10 sec. Druid must channel to maintain the spell.",Crowd Control,Utility,60,10,1180 Mana,,Cooldown,"AOE, CC_SOFT, DPS, PVE",https://www.wowhead.com/tbc/spell=17401,
Balance,Ability,Hurricane,17402,16914,Rank 3,60,"Creates a violent storm in the target area causing 
136 Nature damage to enemies every 1 sec, and increasing the time between attacks by 25%. Lasts 10 sec. Druid must channel to maintain the spell.",Crowd Control,Utility,60,10,1495 Mana,,Cooldown,"AOE, CC_SOFT, DPS, PVE",https://www.wowhead.com/tbc/spell=17402,
Balance,Ability,Hurricane,27012,16914,Rank 4,70,"Creates a violent storm in the target area causing 
206 Nature damage to enemies every 1 sec, and increasing the time between attacks by 25%. Lasts 10 sec. Druid must channel to maintain the spell.",Crowd Control,Utility,60,10,1905 Mana,,Cooldown,"AOE, CC_SOFT, DPS, PVE",https://www.wowhead.com/tbc/spell=27012,
Balance,Ability,Moonfire,563,8921,Rank 6,,Teaches Moonfire (Rank 6).,Offensive,Main,0,12,,,Cooldown,"DEBUFF, DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=563,
Balance,Ability,Moonfire,8921,8921,Rank 2,4,"Burns the enemy for 
9 to 
12 Arcane damage and then an additional 12 Arcane damage over 9 sec.",Offensive,Main,0,12,25 Mana,,Cooldown,"DEBUFF, DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=8921,
Balance,Ability,Moonfire,8924,8921,Rank 3,10,"Burns the enemy for 
17 to 
21 Arcane damage and then an additional 32 Arcane damage over 12 sec.",Offensive,Main,0,12,50 Mana,,Cooldown,"DEBUFF, DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=8924,
Balance,Ability,Moonfire,8925,8921,Rank 4,16,"Burns the enemy for 
30 to 
37 Arcane damage and then an additional 52 Arcane damage over 12 sec.",Offensive,Main,0,12,75 Mana,,Cooldown,"DEBUFF, DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=8925,
Balance,Ability,Moonfire,8926,8921,Rank 5,22,"Burns the enemy for 
47 to 
55 Arcane damage and then an additional 80 Arcane damage over 12 sec.",Offensive,Main,0,12,105 Mana,,Cooldown,"DEBUFF, DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=8926,
Balance,Ability,Moonfire,8927,8921,Rank 6,28,"Burns the enemy for 
70 to 
82 Arcane damage and then an additional 124 Arcane damage over 12 sec.",Offensive,Main,0,12,150 Mana,,Cooldown,"DEBUFF, DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=8927,
