Specialization,Type,Name,Spell ID,Canonical ID,Rank,Learned Level,Description,Category,HUD Row,Cooldown,Duration,Resource Cost,Aura ID,Track Mode,Tags,Wowhead Source,Notes
Class-wide / Shared,Ability,Avenging Wrath,31884,31884,,70,"Increases all damage caused by 30% for 20 sec. Causes Forebearance, preventing the use of Divine Shield, Divine Protection, Blessing of Protection again for 1 min.",Offensive,Main,180,20,8% of base mana,25771,Cooldown + aura,"DPS, HAS_BUFF, MAJOR, PVE_PVP",https://www.wowhead.com/tbc/spell=31884,
Class-wide / Shared,Ability,Blessing of Freedom,1044,1044,,18,"Places a Blessing on the friendly target, granting immunity to movement impairing effects for 10 sec. Players may only have one Blessing on them per Paladin at any one time.",Defensive,Utility,25,10,8% of base mana,,Cooldown + aura,"CC_BREAK, DEFENSIVE, HAS_BUFF, IMPORTANT_EXTERNAL, MINOR",https://www.wowhead.com/tbc/spell=1044,
Class-wide / Shared,Ability,Blessing of Light,19977,19977,Rank 1,40,"Places a Blessing on the friendly target, increasing the effects of Holy Light spells used on the target by up to 210 and the effects of Flash of Light spells used on the target by up to 60. Lasts 10 min. Players may only have one Blessing on them per Paladin at any one time.",Healing,Utility,0,600,85 Mana,,Cooldown,"BUFF, HEAL, LONG_BUFF",https://www.wowhead.com/tbc/spell=19977,
Class-wide / Shared,Ability,Blessing of Light,19978,19977,Rank 2,50,"Places a Blessing on the friendly target, increasing the effects of Holy Light spells used on the target by up to 300 and the effects of Flash of Light spells used on the target by up to 85. Lasts 10 min. Players may only have one Blessing on them per Paladin at any one time.",Healing,Utility,0,600,110 Mana,,Cooldown,"BUFF, HEAL, LONG_BUFF",https://www.wowhead.com/tbc/spell=19978,
Class-wide / Shared,Ability,Blessing of Light,19979,19977,Rank 3,60,"Places a Blessing on the friendly target, increasing the effects of Holy Light spells used on the target by up to 400 and the effects of Flash of Light spells used on the target by up to 115. Lasts 10 min. Players may only have one Blessing on them per Paladin at any one time.",Healing,Utility,0,600,135 Mana,,Cooldown,"BUFF, HEAL, LONG_BUFF",https://www.wowhead.com/tbc/spell=19979,
Class-wide / Shared,Ability,Blessing of Light,27144,19977,Rank 4,69,"Places a Blessing on the friendly target, increasing the effects of Holy Light spells used on the target by up to 580 and the effects of Flash of Light spells used on the target by up to 185. Lasts 10 min. Players may only have one Blessing on them per Paladin at any one time.",Healing,Utility,0,600,180 Mana,,Cooldown,"BUFF, HEAL, LONG_BUFF",https://www.wowhead.com/tbc/spell=27144,
Class-wide / Shared,Ability,Blessing of Might,19740,19740,Rank 1,4,"Places a Blessing on the friendly target, increasing attack power by 20 for 10 min. Players may only have one Blessing on them per Paladin at any one time.",Utility,Utility,0,600,20 Mana,,Cooldown,"BUFF, LONG_BUFF, UTILITY",https://www.wowhead.com/tbc/spell=19740,
Class-wide / Shared,Ability,Blessing of Might,19834,19740,Rank 2,12,"Places a Blessing on the friendly target, increasing attack power by 35 for 10 min. Players may only have one Blessing on them per Paladin at any one time.",Utility,Utility,0,600,30 Mana,,Cooldown,"BUFF, LONG_BUFF, UTILITY",https://www.wowhead.com/tbc/spell=19834,
Class-wide / Shared,Ability,Blessing of Might,19835,19740,Rank 3,22,"Places a Blessing on the friendly target, increasing attack power by 55 for 10 min. Players may only have one Blessing on them per Paladin at any one time.",Utility,Utility,0,600,45 Mana,,Cooldown,"BUFF, LONG_BUFF, UTILITY",https://www.wowhead.com/tbc/spell=19835,
Class-wide / Shared,Ability,Blessing of Might,19836,19740,Rank 4,32,"Places a Blessing on the friendly target, increasing attack power by 85 for 10 min. Players may only have one Blessing on them per Paladin at any one time.",Utility,Utility,0,600,60 Mana,,Cooldown,"BUFF, LONG_BUFF, UTILITY",https://www.wowhead.com/tbc/spell=19836,
Class-wide / Shared,Ability,Blessing of Might,19837,19740,Rank 5,42,"Places a Blessing on the friendly target, increasing attack power by 115 for 10 min. Players may only have one Blessing on them per Paladin at any one time.",Utility,Utility,0,600,85 Mana,,Cooldown,"BUFF, LONG_BUFF, UTILITY",https://www.wowhead.com/tbc/spell=19837,
Class-wide / Shared,Ability,Blessing of Might,19838,19740,Rank 6,52,"Places a Blessing on the friendly target, increasing attack power by 155 for 10 min. Players may only have one Blessing on them per Paladin at any one time.",Utility,Utility,0,600,110 Mana,,Cooldown,"BUFF, LONG_BUFF, UTILITY",https://www.wowhead.com/tbc/spell=19838,
Class-wide / Shared,Ability,Blessing of Might,25291,19740,Rank 7,60,"Places a Blessing on the friendly target, increasing attack power by 185 for 10 min. Players may only have one Blessing on them per Paladin at any one time.",Utility,Utility,0,600,130 Mana,,Cooldown,"BUFF, LONG_BUFF, UTILITY",https://www.wowhead.com/tbc/spell=25291,
Class-wide / Shared,Ability,Blessing of Might,27140,19740,Rank 8,70,"Places a Blessing on the friendly target, increasing attack power by 220 for 10 min. Players may only have one Blessing on them per Paladin at any one time.",Utility,Utility,0,600,145 Mana,,Cooldown,"BUFF, LONG_BUFF, UTILITY",https://www.wowhead.com/tbc/spell=27140,
Class-wide / Shared,Ability,Blessing of Protection,1022,1022,Rank 1,10,"A targeted party member is protected from all physical attacks for 6 sec, but during that time they cannot attack or use physical abilities. Players may only have one Blessing on them per Paladin at any one time. Once protected, the target cannot be made invulnerable by Divine Shield, Divine Protection or Blessing of Protection again for 1 min.",Defensive,Utility,300,10,25 Mana,25771,Cooldown + aura,"EXTERNAL_DEFENSIVE, HAS_BUFF, IMMUNITY, IMPORTANT_EXTERNAL, MAJOR",https://www.wowhead.com/tbc/spell=1022,
Class-wide / Shared,Ability,Blessing of Protection,5599,1022,Rank 2,24,"A targeted party member is protected from all physical attacks for 8 sec, but during that time they cannot attack or use physical abilities. Players may only have one Blessing on them per Paladin at any one time. Once protected, the target cannot be made invulnerable by Divine Shield, Divine Protection or Blessing of Protection again for 1 min.",Defensive,Utility,300,10,45 Mana,25771,Cooldown + aura,"EXTERNAL_DEFENSIVE, HAS_BUFF, IMMUNITY, IMPORTANT_EXTERNAL, MAJOR",https://www.wowhead.com/tbc/spell=5599,
Class-wide / Shared,Ability,Blessing of Protection,10278,1022,Rank 3,38,"A targeted party member is protected from all physical attacks for 10 sec, but during that time they cannot attack or use physical abilities. Players may only have one Blessing on them per Paladin at any one time. Once protected, the target cannot be made invulnerable by Divine Shield, Divine Protection or Blessing of Protection again for 1 min.",Defensive,Utility,300,10,6% of base mana,25771,Cooldown + aura,"EXTERNAL_DEFENSIVE, HAS_BUFF, IMMUNITY, IMPORTANT_EXTERNAL, MAJOR",https://www.wowhead.com/tbc/spell=10278,
Class-wide / Shared,Ability,Blessing of Sacrifice,6940,6940,Rank 1,46,"Places a Blessing on the party member, transfering 45 damage taken per hit to the caster. Lasts 30 sec. Players may only have one Blessing on them per Paladin at any one time.",Defensive,Utility,30,30,80 Mana,,Cooldown + aura,"EXTERNAL_DEFENSIVE, HAS_BUFF, IMPORTANT_EXTERNAL, MINOR",https://www.wowhead.com/tbc/spell=6940,
Class-wide / Shared,Ability,Blessing of Sacrifice,20729,6940,Rank 2,54,"Places a Blessing on the party member, transfering 55 damage taken per hit to the caster. Lasts 30 sec. Players may only have one Blessing on them per Paladin at any one time.",Defensive,Utility,30,30,100 Mana,,Cooldown + aura,"EXTERNAL_DEFENSIVE, HAS_BUFF, IMPORTANT_EXTERNAL, MINOR",https://www.wowhead.com/tbc/spell=20729,
Class-wide / Shared,Ability,Blessing of Salvation,1038,1038,,26,"Places a Blessing on the party member, reducing the amount of all threat generated by 30% for 10 min. Players may only have one Blessing on them per Paladin at any one time.",Utility,Utility,0,600,6% of base mana,,Cooldown,"BUFF, LONG_BUFF, UTILITY",https://www.wowhead.com/tbc/spell=1038,
Class-wide / Shared,Ability,Blessing of Wisdom,19742,19742,Rank 1,14,"Places a Blessing on the friendly target, restoring 10 mana every 5 seconds for 10 min. Players may only have one Blessing on them per Paladin at any one time.",Utility,Utility,0,600,30 Mana,,Cooldown,"BUFF, LONG_BUFF, RESOURCE, UTILITY",https://www.wowhead.com/tbc/spell=19742,
Class-wide / Shared,Ability,Blessing of Wisdom,19850,19742,Rank 2,24,"Places a Blessing on the friendly target, restoring 15 mana every 5 seconds for 10 min. Players may only have one Blessing on them per Paladin at any one time.",Utility,Utility,0,600,45 Mana,,Cooldown,"BUFF, LONG_BUFF, RESOURCE, UTILITY",https://www.wowhead.com/tbc/spell=19850,
Class-wide / Shared,Ability,Blessing of Wisdom,19852,19742,Rank 3,34,"Places a Blessing on the friendly target, restoring 20 mana every 5 seconds for 10 min. Players may only have one Blessing on them per Paladin at any one time.",Utility,Utility,0,600,65 Mana,,Cooldown,"BUFF, LONG_BUFF, RESOURCE, UTILITY",https://www.wowhead.com/tbc/spell=19852,
Class-wide / Shared,Ability,Blessing of Wisdom,19853,19742,Rank 4,44,"Places a Blessing on the friendly target, restoring 25 mana every 5 seconds for 10 min. Players may only have one Blessing on them per Paladin at any one time.",Utility,Utility,0,600,90 Mana,,Cooldown,"BUFF, LONG_BUFF, RESOURCE, UTILITY",https://www.wowhead.com/tbc/spell=19853,
Class-wide / Shared,Ability,Blessing of Wisdom,19854,19742,Rank 5,54,"Places a Blessing on the friendly target, restoring 30 mana every 5 seconds for 10 min. Players may only have one Blessing on them per Paladin at any one time.",Utility,Utility,0,600,115 Mana,,Cooldown,"BUFF, LONG_BUFF, RESOURCE, UTILITY",https://www.wowhead.com/tbc/spell=19854,
Class-wide / Shared,Ability,Blessing of Wisdom,25290,19742,Rank 6,60,"Places a Blessing on the friendly target, restoring 33 mana every 5 seconds for 10 min. Players may only have one Blessing on them per Paladin at any one time.",Utility,Utility,0,600,125 Mana,,Cooldown,"BUFF, LONG_BUFF, RESOURCE, UTILITY",https://www.wowhead.com/tbc/spell=25290,
Class-wide / Shared,Ability,Blessing of Wisdom,27142,19742,Rank 7,65,"Places a Blessing on the friendly target, restoring 41 mana every 5 seconds for 10 min. Players may only have one Blessing on them per Paladin at any one time.",Utility,Utility,0,600,150 Mana,,Cooldown,"BUFF, LONG_BUFF, RESOURCE, UTILITY",https://www.wowhead.com/tbc/spell=27142,
Class-wide / Shared,Ability,Cleanse,4987,4987,,42,"Cleanses a friendly target, removing 1 poison effect, 1 disease effect, and 1 magic effect.",Utility,Utility,0,,6% of base mana,,Cooldown,"DISPEL_DISEASE, DISPEL_MAGIC, DISPEL_POISON, FILLER",https://www.wowhead.com/tbc/spell=4987,
Class-wide / Shared,Ability,Concentration Aura,19746,19746,,22,Gives a 35% chance of ignoring spell interruption when damaged to all party members within 30 yards. Players may only have one Aura on them per Paladin at any one time.,Utility,Utility,0,,,,Cooldown,"BUFF, LONG_BUFF, UTILITY",https://www.wowhead.com/tbc/spell=19746,
Class-wide / Shared,Ability,Devotion Aura,465,465,Rank 1,1,Gives 55 additional armor to party members within 30 yards. Players may only have one Aura on them per Paladin at any one time.,Ability,Data only,0,,,,Cooldown,"BUFF, LONG_BUFF, RAID_DEFENSIVE",https://www.wowhead.com/tbc/spell=465,
Class-wide / Shared,Ability,Devotion Aura,643,465,Rank 2,20,Gives 275 additional armor to party members within 30 yards. Players may only have one Aura on them per Paladin at any one time.,Ability,Data only,0,,,,Cooldown,"BUFF, LONG_BUFF, RAID_DEFENSIVE",https://www.wowhead.com/tbc/spell=643,
Class-wide / Shared,Ability,Devotion Aura,1032,465,Rank 3,40,Gives 505 additional armor to party members within 30 yards. Players may only have one Aura on them per Paladin at any one time.,Ability,Data only,0,,,,Cooldown,"BUFF, LONG_BUFF, RAID_DEFENSIVE",https://www.wowhead.com/tbc/spell=1032,
Class-wide / Shared,Ability,Devotion Aura,10290,465,Rank 4,10,Gives 160 additional armor to party members within 30 yards. Players may only have one Aura on them per Paladin at any one time.,Ability,Data only,0,,,,Cooldown,"BUFF, LONG_BUFF, RAID_DEFENSIVE",https://www.wowhead.com/tbc/spell=10290,
Class-wide / Shared,Ability,Devotion Aura,10291,465,Rank 5,30,Gives 390 additional armor to party members within 30 yards. Players may only have one Aura on them per Paladin at any one time.,Ability,Data only,0,,,,Cooldown,"BUFF, LONG_BUFF, RAID_DEFENSIVE",https://www.wowhead.com/tbc/spell=10291,
Class-wide / Shared,Ability,Devotion Aura,10292,465,Rank 6,50,Gives 620 additional armor to party members within 30 yards. Players may only have one Aura on them per Paladin at any one time.,Ability,Data only,0,,,,Cooldown,"BUFF, LONG_BUFF, RAID_DEFENSIVE",https://www.wowhead.com/tbc/spell=10292,
Class-wide / Shared,Ability,Devotion Aura,10293,465,Rank 7,60,Gives 735 additional armor to party members within 30 yards. Players may only have one Aura on them per Paladin at any one time.,Ability,Data only,0,,,,Cooldown,"BUFF, LONG_BUFF, RAID_DEFENSIVE",https://www.wowhead.com/tbc/spell=10293,
Class-wide / Shared,Ability,Devotion Aura,27149,465,Rank 8,70,Gives 861 additional armor to party members within 30 yards. Players may only have one Aura on them per Paladin at any one time.,Ability,Data only,0,,,,Cooldown,"BUFF, LONG_BUFF, RAID_DEFENSIVE",https://www.wowhead.com/tbc/spell=27149,
Class-wide / Shared,Ability,Divine Intervention,19752,19752,,30,"The paladin sacrifices 
himself
to remove the targeted party member from harms way. Enemies will stop attacking the protected party member, who will be immune to all harmful attacks but cannot take any action for 3 min.",Defensive,Utility,3600,180,,19753,Cooldown + aura,"DEFENSIVE, HAS_BUFF, IMPORTANT_EXTERNAL, MAJOR, UTILITY",https://www.wowhead.com/tbc/spell=19752,
Class-wide / Shared,Ability,Divine Protection,498,498,Rank 1,6,"You are protected from all physical attacks and spells for 6 sec, but during that time you cannot attack or use physical abilities yourself. Once protected, the target cannot be made invulnerable by Divine Shield, Divine Protection or Blessing of Protection again for 1 min.",Defensive,Utility,300,8,15 Mana,25771,Cooldown + aura,"DEFENSIVE, HAS_BUFF, IMMUNITY, MAJOR",https://www.wowhead.com/tbc/spell=498,
Class-wide / Shared,Ability,Divine Protection,5573,498,Rank 2,18,"You are protected from all physical attacks and spells for 8 sec, but during that time you cannot attack or use physical abilities yourself. Once protected, the target cannot be made invulnerable by Divine Shield, Divine Protection or Blessing of Protection again for 1 min.",Defensive,Utility,300,8,35 Mana,25771,Cooldown + aura,"DEFENSIVE, HAS_BUFF, IMMUNITY, MAJOR",https://www.wowhead.com/tbc/spell=5573,
Class-wide / Shared,Ability,Divine Shield,642,642,Rank 1,34,"Protects the paladin from all damage and spells for 10 sec, but increases the time between your attacks by 100%. Once protected, the target cannot be made invulnerable by Divine Shield, Divine Protection, Blessing of Protection again or use Avenging Wrath for 1 min.",Defensive,Utility,300,12,75 Mana,25771,Cooldown + aura,"DEFENSIVE, HAS_BUFF, IMMUNITY, MAJOR",https://www.wowhead.com/tbc/spell=642,
Class-wide / Shared,Ability,Divine Shield,1020,642,Rank 2,50,"Protects the paladin from all damage and spells for 12 sec, but increases the time between your attacks by 100%. Once protected, the target cannot be made invulnerable by Divine Shield, Divine Protection, Blessing of Protection again or use Avenging Wrath for 1 min.",Defensive,Utility,300,12,110 Mana,25771,Cooldown + aura,"DEFENSIVE, HAS_BUFF, IMMUNITY, MAJOR",https://www.wowhead.com/tbc/spell=1020,
Class-wide / Shared,Ability,Exorcism,879,879,Rank 1,20,"Causes 
90 to 
102 Holy damage to an Undead or Demon target.",Offensive,Main,15,,70 Mana,,Cooldown,"DPS, MINOR, PVE",https://www.wowhead.com/tbc/spell=879,
Class-wide / Shared,Ability,Exorcism,5614,879,Rank 2,28,"Causes 
160 to 
180 Holy damage to an Undead or Demon target.",Offensive,Main,15,,115 Mana,,Cooldown,"DPS, MINOR, PVE",https://www.wowhead.com/tbc/spell=5614,
