Specialization,Type,Name,Spell ID,Canonical ID,Rank,Learned Level,Description,Category,HUD Row,Cooldown,Duration,Resource Cost,Aura ID,Track Mode,Tags,Wowhead Source,Notes
Affliction,Ability,Seed of Corruption,27243,27243,,70,"Imbeds a demon seed in the enemy target, causing 1044 Shadow damage over 18 sec. When the target takes 1044 total damage or dies, the seed will inflict 1110 to 1290 Shadow damage to all other enemies within 15 yards of the target. Only one Corruption spell per Warlock can be active on any one target.",Offensive,Main,0,18,882 Mana,,Cooldown,"AOE, DEBUFF, DPS, PVE",https://www.wowhead.com/tbc/spell=27243,
Affliction,Talent Ability,Amplify Curse,18288,18288,Rank 1/1,,"Increases the effect of your next Curse of Doom or Curse of Agony by 50%, or your next Curse of Exhaustion by an additional 20%. Lasts 30 sec.",Offensive,Main,180,30,,,Cooldown + aura,"DPS, HAS_BUFF, MAJOR",https://www.wowhead.com/tbc/spell=18288,Talent-required | Talent: Amplify Curse
Affliction,Talent,Contagion,30060,30060,Rank 1/5,,"Increases the damage of Curse of Agony, Corruption and Seed of Corruption by 1% and reduces the chance your Affliction spells will be dispelled by an additional 6%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=30060,Talent: Contagion; tree row 7
Affliction,Talent,Contagion,30061,30060,Rank 2/5,,"Increases the damage of Curse of Agony, Corruption and Seed of Corruption by 2% and reduces the chance your Affliction spells will be dispelled by an additional 12%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=30061,Talent: Contagion; tree row 7
Affliction,Talent,Contagion,30062,30060,Rank 3/5,,"Increases the damage of Curse of Agony, Corruption and Seed of Corruption by 3% and reduces the chance your Affliction spells will be dispelled by an additional 18%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=30062,Talent: Contagion; tree row 7
Affliction,Talent,Contagion,30063,30060,Rank 4/5,,"Increases the damage of Curse of Agony, Corruption and Seed of Corruption by 4% and reduces the chance your Affliction spells will be dispelled by an additional 24%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=30063,Talent: Contagion; tree row 7
Affliction,Talent,Contagion,30064,30060,Rank 5/5,,"Increases the damage of Curse of Agony, Corruption and Seed of Corruption by 5% and reduces the chance your Affliction spells will be dispelled by an additional 30%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=30064,Talent: Contagion; tree row 7
Affliction,Talent Ability,Curse of Exhaustion,18223,18223,Rank 1/1,,"Reduces the target's movement speed by 
30
% for 12 sec. Only one Curse per Warlock can be active on any one target.",Crowd Control,Utility,0,12,6% of base mana,,Cooldown,"CC_SOFT, DEBUFF",https://www.wowhead.com/tbc/spell=18223,Talent-required | Talent: Curse of Exhaustion
Affliction,Talent Ability,Dark Pact,18220,18220,Rank 1/1,,"Drains 305 of your pet's Mana, returning 100% to you.",Resource,Main,0,,,,Cooldown,RESOURCE,https://www.wowhead.com/tbc/spell=18220,Talent-required | Talent: Dark Pact
Affliction,Talent,Empowered Corruption,32381,32381,Rank 1/3,,Your Corruption spell gains an additional 12% of your bonus spell damage effects.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=32381,Talent: Empowered Corruption; tree row 4
Affliction,Talent,Empowered Corruption,32382,32381,Rank 2/3,,Your Corruption spell gains an additional 24% of your bonus spell damage effects.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=32382,Talent: Empowered Corruption; tree row 4
Affliction,Talent,Empowered Corruption,32383,32381,Rank 3/3,,Your Corruption spell gains an additional 36% of your bonus spell damage effects.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=32383,Talent: Empowered Corruption; tree row 4
Affliction,Talent,Fel Concentration,17783,17783,Rank 1/5,,"Gives you a 14% chance to avoid interruption caused by damage while channeling the Drain Life, Drain Mana, or Drain Soul spell.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=17783,Talent: Fel Concentration; tree row 3
Affliction,Talent,Fel Concentration,17784,17783,Rank 2/5,,"Gives you a 28% chance to avoid interruption caused by damage while channeling the Drain Life, Drain Mana, or Drain Soul spell.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=17784,Talent: Fel Concentration; tree row 3
Affliction,Talent,Fel Concentration,17785,17783,Rank 3/5,,"Gives you a 42% chance to avoid interruption caused by damage while channeling the Drain Life, Drain Mana, or Drain Soul spell.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=17785,Talent: Fel Concentration; tree row 3
Affliction,Talent,Fel Concentration,17786,17783,Rank 4/5,,"Gives you a 56% chance to avoid interruption caused by damage while channeling the Drain Life, Drain Mana, or Drain Soul spell.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=17786,Talent: Fel Concentration; tree row 3
Affliction,Talent,Fel Concentration,17787,17783,Rank 5/5,,"Gives you a 70% chance to avoid interruption caused by damage while channeling the Drain Life, Drain Mana, or Drain Soul spell.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=17787,Talent: Fel Concentration; tree row 3
Affliction,Talent,Grim Reach,18218,18218,Rank 1/2,,Increases the range of your Affliction spells by 10%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18218,Talent: Grim Reach; tree row 4
Affliction,Talent,Grim Reach,18219,18218,Rank 2/2,,Increases the range of your Affliction spells by 20%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18219,Talent: Grim Reach; tree row 4
Affliction,Talent Ability,Howl of Terror,5484,5484,Rank 1,40,"Howl, causing 5 enemies within 10 yds to flee in terror for 6 sec. Damage caused may interrupt the effect.",Crowd Control,Utility,40,8,150 Mana,,Cooldown,"CC_HARD, FEAR",https://www.wowhead.com/tbc/spell=5484,Talent-required
Affliction,Talent Ability,Howl of Terror,17928,5484,Rank 2,54,"Howl, causing 5 enemies within 10 yds to flee in terror for 8 sec. Damage caused may interrupt the effect.",Crowd Control,Utility,40,8,200 Mana,,Cooldown,"CC_HARD, FEAR",https://www.wowhead.com/tbc/spell=17928,Talent-required
Affliction,Talent,Improved Corruption,17810,17810,Rank 1/5,,Reduces the casting time of your Corruption spell by 0.4 sec.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=17810,Talent: Improved Corruption; tree row 1
Affliction,Talent,Improved Corruption,17811,17810,Rank 2/5,,Reduces the casting time of your Corruption spell by 0.8 sec.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=17811,Talent: Improved Corruption; tree row 1
Affliction,Talent,Improved Corruption,17812,17810,Rank 3/5,,Reduces the casting time of your Corruption spell by 1.2 sec.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=17812,Talent: Improved Corruption; tree row 1
Affliction,Talent,Improved Corruption,17813,17810,Rank 4/5,,Reduces the casting time of your Corruption spell by 1.6 sec.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=17813,Talent: Improved Corruption; tree row 1
Affliction,Talent,Improved Corruption,17814,17810,Rank 5/5,,Reduces the casting time of your Corruption spell by 2 sec.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=17814,Talent: Improved Corruption; tree row 1
Affliction,Talent,Improved Curse of Agony,18827,18827,Rank 1/2,,Increases the damage done by your Curse of Agony by 5%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18827,Talent: Improved Curse of Agony; tree row 3
Affliction,Talent,Improved Curse of Agony,18829,18827,Rank 2/2,,Increases the damage done by your Curse of Agony by 10%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18829,Talent: Improved Curse of Agony; tree row 3
Affliction,Talent,Improved Curse of Weakness,18179,18179,Rank 1/2,,Increases the effect of your Curse of Weakness by 10%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18179,Talent: Improved Curse of Weakness; tree row 2
Affliction,Talent,Improved Curse of Weakness,18180,18179,Rank 2/2,,Increases the effect of your Curse of Weakness by 20%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18180,Talent: Improved Curse of Weakness; tree row 2
Affliction,Talent,Improved Drain Soul,18213,18213,Rank 1/2,,"Returns 7% of your maximum mana if the target is killed by you while you drain its soul. In addition, your Affliction spells generate 5% less threat.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18213,Talent: Improved Drain Soul; tree row 2
Affliction,Talent,Improved Drain Soul,18372,18213,Rank 2/2,,"Returns 15% of your maximum mana if the target is killed by you while you drain its soul. In addition, your Affliction spells generate 10% less threat.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18372,Talent: Improved Drain Soul; tree row 2
Affliction,Talent,Improved Howl of Terror,30054,30054,Rank 1/2,,Reduces the casting time of your Howl of Terror spell by 0.8 sec.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=30054,Talent: Improved Howl of Terror; tree row 8
Affliction,Talent,Improved Howl of Terror,30057,30054,Rank 2/2,,Reduces the casting time of your Howl of Terror spell by 1.5 sec.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=30057,Talent: Improved Howl of Terror; tree row 8
Affliction,Talent,Improved Life Tap,18182,18182,Rank 1/2,,Increases the amount of Mana awarded by your Life Tap spell by 10%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18182,Talent: Improved Life Tap; tree row 2
Affliction,Talent,Improved Life Tap,18183,18182,Rank 2/2,,Increases the amount of Mana awarded by your Life Tap spell by 20%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18183,Talent: Improved Life Tap; tree row 2
Affliction,Talent,Malediction,32477,32477,Rank 1/3,,Increases the damage bonus effect of your Curse of the Elements spell by an additional 1%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=32477,Talent: Malediction; tree row 8
Affliction,Talent,Malediction,32483,32477,Rank 2/3,,Increases the damage bonus effect of your Curse of the Elements spell by an additional 2%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=32483,Talent: Malediction; tree row 8
Affliction,Talent,Malediction,32484,32477,Rank 3/3,,Increases the damage bonus effect of your Curse of the Elements spell by an additional 3%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=32484,Talent: Malediction; tree row 8
Affliction,Talent,Nightfall,18094,18094,Rank 1/2,,Gives your Corruption and Drain Life spells a 2% chance to cause you to enter a Shadow Trance state after damaging the opponent. The Shadow Trance state reduces the casting time of your next Shadow Bolt spell by 100%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18094,Talent: Nightfall; tree row 4
Affliction,Talent,Nightfall,18095,18094,Rank 2/2,,Gives your Corruption and Drain Life spells a 4% chance to cause you to enter a Shadow Trance state after damaging the opponent. The Shadow Trance state reduces the casting time of your next Shadow Bolt spell by 100%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18095,Talent: Nightfall; tree row 4
Affliction,Talent,Shadow Embrace,32385,32385,Rank 1/5,,"Your Corruption, Curse of Agony, Siphon Life and Seed of Corruption spells also cause the Shadow Embrace effect, which reduces physical damage caused by 1%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=32385,Talent: Shadow Embrace; tree row 5
Affliction,Talent,Shadow Embrace,32387,32385,Rank 2/5,,"Your Corruption, Curse of Agony, Siphon Life and Seed of Corruption spells also cause the Shadow Embrace effect, which reduces physical damage caused by 2%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=32387,Talent: Shadow Embrace; tree row 5
Affliction,Talent,Shadow Embrace,32392,32385,Rank 3/5,,"Your Corruption, Curse of Agony, Siphon Life and Seed of Corruption spells also cause the Shadow Embrace effect, which reduces physical damage caused by 3%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=32392,Talent: Shadow Embrace; tree row 5
Affliction,Talent,Shadow Embrace,32393,32385,Rank 4/5,,"Your Corruption, Curse of Agony, Siphon Life and Seed of Corruption spells also cause the Shadow Embrace effect, which reduces physical damage caused by 4%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=32393,Talent: Shadow Embrace; tree row 5
Affliction,Talent,Shadow Embrace,32394,32385,Rank 5/5,,"Your Corruption, Curse of Agony, Siphon Life and Seed of Corruption spells also cause the Shadow Embrace effect, which reduces physical damage caused by 5%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=32394,Talent: Shadow Embrace; tree row 5
Affliction,Talent,Shadow Mastery,18271,18271,Rank 1/5,,Increases the damage dealt or life drained by your Shadow spells by 2%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18271,Talent: Shadow Mastery; tree row 6
Affliction,Talent,Shadow Mastery,18272,18271,Rank 2/5,,Increases the damage dealt or life drained by your Shadow spells by 4%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18272,Talent: Shadow Mastery; tree row 6
Affliction,Talent,Shadow Mastery,18273,18271,Rank 3/5,,Increases the damage dealt or life drained by your Shadow spells by 6%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18273,Talent: Shadow Mastery; tree row 6
Affliction,Talent,Shadow Mastery,18274,18271,Rank 4/5,,Increases the damage dealt or life drained by your Shadow spells by 8%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18274,Talent: Shadow Mastery; tree row 6
Affliction,Talent,Shadow Mastery,18275,18271,Rank 5/5,,Increases the damage dealt or life drained by your Shadow spells by 10%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18275,Talent: Shadow Mastery; tree row 6
Affliction,Talent Ability,Siphon Life,18265,18265,Rank 1/1,,Transfers 15 health from the target to the caster every 3 sec. Lasts 30 sec.,Offensive,Main,0,30,140 Mana,,Cooldown + aura,"DPS, HAS_DEBUFF, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=18265,Talent-required | Talent: Siphon Life
Affliction,Talent Ability,Siphon Life,18879,18265,Rank 2,38,Transfers 22 health from the target to the caster every 3 sec. Lasts 30 sec.,Offensive,Main,0,30,190 Mana,,Cooldown + aura,"DPS, HAS_DEBUFF, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=18879,Talent-required
Affliction,Talent Ability,Siphon Life,18880,18265,Rank 3,48,Transfers 33 health from the target to the caster every 3 sec. Lasts 30 sec.,Offensive,Main,0,30,250 Mana,,Cooldown + aura,"DPS, HAS_DEBUFF, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=18880,Talent-required
Affliction,Talent Ability,Siphon Life,18881,18265,Rank 4,58,Transfers 45 health from the target to the caster every 3 sec. Lasts 30 sec.,Offensive,Main,0,30,310 Mana,,Cooldown + aura,"DPS, HAS_DEBUFF, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=18881,Talent-required
Affliction,Talent Ability,Siphon Life,27264,18265,Rank 5,63,Transfers 52 health from the target to the caster every 3 sec. Lasts 30 sec.,Offensive,Main,0,30,350 Mana,,Cooldown + aura,"DPS, HAS_DEBUFF, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=27264,Talent-required
Affliction,Talent Ability,Siphon Life,30911,18265,Rank 6,70,Transfers 63 health from the target to the caster every 3 sec. Lasts 30 sec.,Offensive,Main,0,30,410 Mana,,Cooldown + aura,"DPS, HAS_DEBUFF, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=30911,Talent-required
Affliction,Talent,Soul Siphon,17804,17804,Rank 1/2,,"Increases the amount drained by your Drain Life spell by an additional 2% for each Affliction effect on the target, up to a maximum of 24% additional effect.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=17804,Talent: Soul Siphon; tree row 2
Affliction,Talent,Soul Siphon,17805,17804,Rank 2/2,,"Increases the amount drained by your Drain Life spell by an additional 4% for each Affliction effect on the target, up to a maximum of 60% additional effect.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=17805,Talent: Soul Siphon; tree row 2
Affliction,Talent,Suppression,18174,18174,Rank 1/5,,Reduces the chance for enemies to resist your Affliction spells by 2%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18174,Talent: Suppression; tree row 1
Affliction,Talent,Suppression,18175,18174,Rank 2/5,,Reduces the chance for enemies to resist your Affliction spells by 4%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18175,Talent: Suppression; tree row 1
Affliction,Talent,Suppression,18176,18174,Rank 3/5,,Reduces the chance for enemies to resist your Affliction spells by 6%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18176,Talent: Suppression; tree row 1
Affliction,Talent,Suppression,18177,18174,Rank 4/5,,Reduces the chance for enemies to resist your Affliction spells by 8%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18177,Talent: Suppression; tree row 1
Affliction,Talent,Suppression,18178,18174,Rank 5/5,,Reduces the chance for enemies to resist your Affliction spells by 10%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=18178,Talent: Suppression; tree row 1
Affliction,Talent Ability,Unstable Affliction,30108,30108,Rank 1/1,,"Shadow energy slowly destroys the target, causing 660 damage over 18 sec. In addition, if the Unstable Affliction is dispelled it will cause 990 damage to the dispeller and silence them for 5 sec.",Offensive,Main,0,18,270 Mana,,Cooldown,"DEBUFF, DPS, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=30108,Talent-required | Talent: Unstable Affliction
Affliction,Talent Ability,Unstable Affliction,30404,30108,Rank 2,60,"Shadow energy slowly destroys the target, causing 840 damage over 18 sec. In addition, if the Unstable Affliction is dispelled it will cause 1260 damage to the dispeller and silence them for 5 sec.",Offensive,Main,0,18,330 Mana,,Cooldown,"DEBUFF, DPS, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=30404,Talent-required
Affliction,Talent Ability,Unstable Affliction,30405,30108,Rank 3,70,"Shadow energy slowly destroys the target, causing 1050 damage over 18 sec. In addition, if the Unstable Affliction is dispelled it will cause 1575 damage to the dispeller and silence them for 5 sec.",Offensive,Main,0,18,400 Mana,,Cooldown,"DEBUFF, DPS, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=30405,Talent-required
