Specialization,Type,Name,Spell ID,Canonical ID,Rank,Learned Level,Description,Category,HUD Row,Cooldown,Duration,Resource Cost,Aura ID,Track Mode,Tags,Wowhead Source,Notes
Class-wide / Shared,Ability,Astral Recall,556,556,,30,Yanks the caster through the twisting nether back to Hearthstone Location. Speak to an Innkeeper in a different place to change your home location.,Utility,Utility,900,,150 Mana,,Cooldown,"OUT_OF_COMBAT, UTILITY",https://www.wowhead.com/tbc/spell=556,
Class-wide / Shared,Ability,Bloodlust,2825,2825,,70,"Increases melee, ranged, and spell casting speed by 30% for all party members. Lasts 40 sec.",Offensive,Main,600,40,750 Mana,,Cooldown + aura,"DPS, HAS_BUFF, IMPORTANT_EXTERNAL, MAJOR, RAID_DEFENSIVE",https://www.wowhead.com/tbc/spell=2825,
Class-wide / Shared,Ability,Cure Disease,2870,2870,,22,Cures 1 disease on the target.,Utility,Utility,0,,7% of base mana,,Cooldown,"DISPEL_DISEASE, FILLER",https://www.wowhead.com/tbc/spell=2870,
Class-wide / Shared,Ability,Cure Poison,526,526,,16,Cures 1 poison effect on the target.,Utility,Utility,0,,7% of base mana,,Cooldown,"DISPEL_POISON, FILLER",https://www.wowhead.com/tbc/spell=526,
Class-wide / Shared,Ability,Disease Cleansing Totem,8170,8170,,38,Summons a Disease Cleansing Totem with 5 health at the feet of the caster that attempts to remove 1 disease effect from party members within 20 yards every 5 seconds. Lasts 2 min.,Utility,Utility,0,120,8% of base mana,,Cooldown,"DISPEL_DISEASE, FILLER, TOTEM, TOTEM_WATER, UTILITY",https://www.wowhead.com/tbc/spell=8170,
Class-wide / Shared,Ability,Earth Elemental Totem,2062,2062,,66,"Summon an elemental totem that calls forth a greater earth elemental to protect the caster and 
his
allies. Lasts 2 min.",Defensive,Utility,1200,120,705 Mana,,Cooldown,"DEFENSIVE, MAJOR, PET_SUMMON, PET_SUMMON_TEMP, TAUNT, TOTEM, TOTEM_EARTH",https://www.wowhead.com/tbc/spell=2062,
Class-wide / Shared,Ability,Earthbind Totem,2484,2484,,6,Summons an Earthbind Totem with 5 health at the feet of the caster for 45 sec that slows the movement speed of enemies within 10 yards.,Crowd Control,Utility,15,45,5% of base mana,3600,Cooldown + aura,"CC_SOFT, TOTEM, TOTEM_EARTH, UTILITY",https://www.wowhead.com/tbc/spell=2484,
Class-wide / Shared,Ability,Fire Elemental Totem,2894,2894,,68,Summons an elemental totem that calls forth a greater fire elemental to rain destruction on the caster's enemies. Lasts 2 min.,Pet,Main,1200,120,680 Mana,,Cooldown,"DPS, MAJOR, PET_SUMMON, PET_SUMMON_TEMP, TOTEM, TOTEM_FIRE",https://www.wowhead.com/tbc/spell=2894,
Class-wide / Shared,Ability,Fire Nova Totem,1535,1535,Rank 1,12,"Summons a Fire Nova Totem that has 5 health and lasts 5 sec. Unless it is destroyed within 4 sec., the totem inflicts 
53 to 
62 fire damage to enemies within 10 yd.",Offensive,Main,15,5,95 Mana,,Cooldown,"AOE, DPS, MINOR, TOTEM, TOTEM_FIRE",https://www.wowhead.com/tbc/spell=1535,
Class-wide / Shared,Ability,Fire Nova Totem,8498,1535,Rank 2,22,"Summons a Fire Nova Totem that has 5 health and lasts 5 sec. Unless it is destroyed within 4 sec., the totem inflicts 
110 to 
124 fire damage to enemies within 10 yd.",Offensive,Main,15,5,170 Mana,,Cooldown,"AOE, DPS, MINOR, TOTEM, TOTEM_FIRE",https://www.wowhead.com/tbc/spell=8498,
Class-wide / Shared,Ability,Fire Nova Totem,8499,1535,Rank 3,32,"Summons a Fire Nova Totem that has 5 health and lasts 5 sec. Unless it is destroyed within 4 sec., the totem inflicts 
195 to 
219 fire damage to enemies within 10 yd.",Offensive,Main,15,5,280 Mana,,Cooldown,"AOE, DPS, MINOR, TOTEM, TOTEM_FIRE",https://www.wowhead.com/tbc/spell=8499,
Class-wide / Shared,Ability,Fire Nova Totem,11314,1535,Rank 4,42,"Summons a Fire Nova Totem that has 5 health and lasts 5 sec. Unless it is destroyed within 4 sec., the totem inflicts 
295 to 
331 fire damage to enemies within 10 yd.",Offensive,Main,15,5,395 Mana,,Cooldown,"AOE, DPS, MINOR, TOTEM, TOTEM_FIRE",https://www.wowhead.com/tbc/spell=11314,
Class-wide / Shared,Ability,Fire Nova Totem,11315,1535,Rank 5,52,"Summons a Fire Nova Totem that has 5 health and lasts 5 sec. Unless it is destroyed within 4 sec., the totem inflicts 
413 to 
459 fire damage to enemies within 10 yd.",Offensive,Main,15,5,520 Mana,,Cooldown,"AOE, DPS, MINOR, TOTEM, TOTEM_FIRE",https://www.wowhead.com/tbc/spell=11315,
Class-wide / Shared,Ability,Fire Nova Totem,25546,1535,Rank 6,61,"Summons a Fire Nova Totem that has 5 health and lasts 5 sec. Unless it is destroyed within 4 sec., the totem inflicts 
537 to 
598 fire damage to enemies within 10 yd.",Offensive,Main,15,5,640 Mana,,Cooldown,"AOE, DPS, MINOR, TOTEM, TOTEM_FIRE",https://www.wowhead.com/tbc/spell=25546,
Class-wide / Shared,Ability,Fire Nova Totem,25547,1535,Rank 7,70,"Summons a Fire Nova Totem that has 5 health and lasts 5 sec. Unless it is destroyed within 4 sec., the totem inflicts 
654 to 
730 fire damage to enemies within 10 yd.",Offensive,Main,15,5,765 Mana,,Cooldown,"AOE, DPS, MINOR, TOTEM, TOTEM_FIRE",https://www.wowhead.com/tbc/spell=25547,
