Class,Specialization,Type,Name,Spell ID,Canonical ID,Rank,Learned Level,Description,Category,HUD Row,Cooldown,Duration,Resource Cost,Aura ID,Track Mode,Tags,Wowhead Source,Notes
Druid,Balance,Ability,Hurricane,16914,16914,Rank 1,40,"Creates a violent storm in the target area causing 
72 Nature damage to enemies every 1 sec, and increasing the time between attacks of enemies by 25%. Lasts 10 sec. Druid must channel to maintain the spell.",Crowd Control,Utility,60,10,880 Mana,,Cooldown,"AOE, CC_SOFT, DPS, PVE",https://www.wowhead.com/tbc/spell=16914,
Druid,Balance,Ability,Hurricane,17401,16914,Rank 2,50,"Creates a violent storm in the target area causing 
102 Nature damage to enemies every 1 sec, and increasing the time between attacks by 25%. Lasts 10 sec. Druid must channel to maintain the spell.",Crowd Control,Utility,60,10,1180 Mana,,Cooldown,"AOE, CC_SOFT, DPS, PVE",https://www.wowhead.com/tbc/spell=17401,
Druid,Balance,Ability,Hurricane,17402,16914,Rank 3,60,"Creates a violent storm in the target area causing 
136 Nature damage to enemies every 1 sec, and increasing the time between attacks by 25%. Lasts 10 sec. Druid must channel to maintain the spell.",Crowd Control,Utility,60,10,1495 Mana,,Cooldown,"AOE, CC_SOFT, DPS, PVE",https://www.wowhead.com/tbc/spell=17402,
Druid,Balance,Ability,Hurricane,27012,16914,Rank 4,70,"Creates a violent storm in the target area causing 
206 Nature damage to enemies every 1 sec, and increasing the time between attacks by 25%. Lasts 10 sec. Druid must channel to maintain the spell.",Crowd Control,Utility,60,10,1905 Mana,,Cooldown,"AOE, CC_SOFT, DPS, PVE",https://www.wowhead.com/tbc/spell=27012,
Druid,Balance,Ability,Moonfire,8921,8921,Rank 2,4,"Burns the enemy for 
9 to 
12 Arcane damage and then an additional 12 Arcane damage over 9 sec.",Offensive,Main,0,12,25 Mana,,Cooldown,"DEBUFF, DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=8921,
Druid,Balance,Ability,Moonfire,8924,8921,Rank 3,10,"Burns the enemy for 
17 to 
21 Arcane damage and then an additional 32 Arcane damage over 12 sec.",Offensive,Main,0,12,50 Mana,,Cooldown,"DEBUFF, DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=8924,
Druid,Balance,Ability,Moonfire,8925,8921,Rank 4,16,"Burns the enemy for 
30 to 
37 Arcane damage and then an additional 52 Arcane damage over 12 sec.",Offensive,Main,0,12,75 Mana,,Cooldown,"DEBUFF, DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=8925,
Druid,Balance,Ability,Moonfire,8926,8921,Rank 5,22,"Burns the enemy for 
47 to 
55 Arcane damage and then an additional 80 Arcane damage over 12 sec.",Offensive,Main,0,12,105 Mana,,Cooldown,"DEBUFF, DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=8926,
Druid,Balance,Ability,Moonfire,8927,8921,Rank 6,28,"Burns the enemy for 
70 to 
82 Arcane damage and then an additional 124 Arcane damage over 12 sec.",Offensive,Main,0,12,150 Mana,,Cooldown,"DEBUFF, DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=8927,
Druid,Balance,Ability,Moonfire,8928,8921,Rank 7,34,"Burns the enemy for 
91 to 
108 Arcane damage and then an additional 164 Arcane damage over 12 sec.",Offensive,Main,0,12,190 Mana,,Cooldown,"DEBUFF, DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=8928,
Druid,Balance,Ability,Moonfire,8929,8921,Rank 8,40,"Burns the enemy for 
117 to 
137 Arcane damage and then an additional 212 Arcane damage over 12 sec.",Offensive,Main,0,12,235 Mana,,Cooldown,"DEBUFF, DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=8929,
Druid,Balance,Ability,Moonfire,9833,8921,Rank 9,46,"Burns the enemy for 
143 to 
168 Arcane damage and then an additional 264 Arcane damage over 12 sec.",Offensive,Main,0,12,280 Mana,,Cooldown,"DEBUFF, DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=9833,
Druid,Balance,Ability,Moonfire,9834,8921,Rank 10,52,"Burns the enemy for 
172 to 
200 Arcane damage and then an additional 320 Arcane damage over 12 sec.",Offensive,Main,0,12,325 Mana,,Cooldown,"DEBUFF, DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=9834,
Druid,Balance,Ability,Moonfire,9835,8921,Rank 11,58,"Burns the enemy for 
205 to 
238 Arcane damage and then an additional 384 Arcane damage over 12 sec.",Offensive,Main,0,12,375 Mana,,Cooldown,"DEBUFF, DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=9835,
Druid,Balance,Ability,Moonfire,26987,8921,Rank 12,63,"Burns the enemy for 
238 to 
276 Arcane damage and then an additional 444 Arcane damage over 12 sec.",Offensive,Main,0,12,430 Mana,,Cooldown,"DEBUFF, DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=26987,
Druid,Balance,Ability,Moonfire,26988,8921,Rank 13,70,"Burns the enemy for 
305 to 
357 Arcane damage and then an additional 600 Arcane damage over 12 sec.",Offensive,Main,0,12,495 Mana,,Cooldown,"DEBUFF, DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=26988,
Druid,Balance,Ability,Starfire,2912,2912,Rank 1,20,"Causes 
95 to 
115 Arcane damage to the target.",Offensive,Main,0,,95 Mana,,Cooldown,"DPS, FILLER, PVE",https://www.wowhead.com/tbc/spell=2912,
Druid,Balance,Ability,Starfire,8949,2912,Rank 2,26,"Causes 
146 to 
177 Arcane damage to the target.",Offensive,Main,0,,135 Mana,,Cooldown,"DPS, FILLER, PVE",https://www.wowhead.com/tbc/spell=8949,
Druid,Balance,Ability,Starfire,8950,2912,Rank 3,34,"Causes 
212 to 
253 Arcane damage to the target.",Offensive,Main,0,,180 Mana,,Cooldown,"DPS, FILLER, PVE",https://www.wowhead.com/tbc/spell=8950,
Druid,Balance,Ability,Starfire,8951,2912,Rank 4,42,"Causes 
293 to 
348 Arcane damage to the target.",Offensive,Main,0,,230 Mana,,Cooldown,"DPS, FILLER, PVE",https://www.wowhead.com/tbc/spell=8951,
Druid,Balance,Ability,Starfire,9875,2912,Rank 5,50,"Causes 
378 to 
445 Arcane damage to the target.",Offensive,Main,0,,275 Mana,,Cooldown,"DPS, FILLER, PVE",https://www.wowhead.com/tbc/spell=9875,
Druid,Balance,Ability,Starfire,9876,2912,Rank 6,58,"Causes 
463 to 
543 Arcane damage to the target.",Offensive,Main,0,,315 Mana,,Cooldown,"DPS, FILLER, PVE",https://www.wowhead.com/tbc/spell=9876,
Druid,Balance,Ability,Starfire,25298,2912,Rank 7,60,"Causes 
514 to 
603 Arcane damage to the target.",Offensive,Main,0,,340 Mana,,Cooldown,"DPS, FILLER, PVE",https://www.wowhead.com/tbc/spell=25298,
Druid,Balance,Ability,Starfire,26986,2912,Rank 8,67,"Causes 
550 to 
647 Arcane damage to the target.",Offensive,Main,0,,370 Mana,,Cooldown,"DPS, FILLER, PVE",https://www.wowhead.com/tbc/spell=26986,
Druid,Balance,Ability,Wrath,5176,5176,Rank 1,1,"Causes 
13 to 
16 Nature damage to the target.",Offensive,Main,0,,20 Mana,,Cooldown,"DPS, FILLER, PVE_PVP",https://www.wowhead.com/tbc/spell=5176,
Druid,Balance,Ability,Wrath,5177,5176,Rank 2,6,"Causes 
28 to 
33 Nature damage to the target.",Offensive,Main,0,,35 Mana,,Cooldown,"DPS, FILLER, PVE_PVP",https://www.wowhead.com/tbc/spell=5177,
Druid,Balance,Ability,Wrath,5178,5176,Rank 3,14,"Causes 
48 to 
57 Nature damage to the target.",Offensive,Main,0,,55 Mana,,Cooldown,"DPS, FILLER, PVE_PVP",https://www.wowhead.com/tbc/spell=5178,
Druid,Balance,Ability,Wrath,5179,5176,Rank 4,22,"Causes 
69 to 
79 Nature damage to the target.",Offensive,Main,0,,70 Mana,,Cooldown,"DPS, FILLER, PVE_PVP",https://www.wowhead.com/tbc/spell=5179,
Druid,Balance,Ability,Wrath,5180,5176,Rank 5,30,"Causes 
108 to 
123 Nature damage to the target.",Offensive,Main,0,,100 Mana,,Cooldown,"DPS, FILLER, PVE_PVP",https://www.wowhead.com/tbc/spell=5180,
Druid,Balance,Ability,Wrath,6780,5176,Rank 6,38,"Causes 
148 to 
167 Nature damage to the target.",Offensive,Main,0,,125 Mana,,Cooldown,"DPS, FILLER, PVE_PVP",https://www.wowhead.com/tbc/spell=6780,
Druid,Balance,Ability,Wrath,8905,5176,Rank 7,46,"Causes 
198 to 
221 Nature damage to the target.",Offensive,Main,0,,155 Mana,,Cooldown,"DPS, FILLER, PVE_PVP",https://www.wowhead.com/tbc/spell=8905,
Druid,Balance,Ability,Wrath,9912,5176,Rank 8,54,"Causes 
248 to 
277 Nature damage to the target.",Offensive,Main,0,,180 Mana,,Cooldown,"DPS, FILLER, PVE_PVP",https://www.wowhead.com/tbc/spell=9912,
Druid,Balance,Ability,Wrath,26984,5176,Rank 9,61,"Causes 
292 to 
327 Nature damage to the target.",Offensive,Main,0,,210 Mana,,Cooldown,"DPS, FILLER, PVE_PVP",https://www.wowhead.com/tbc/spell=26984,
Druid,Balance,Ability,Wrath,26985,5176,Rank 10,69,"Causes 
383 to 
432 Nature damage to the target.",Offensive,Main,0,,255 Mana,,Cooldown,"DPS, FILLER, PVE_PVP",https://www.wowhead.com/tbc/spell=26985,
Druid,Balance,Talent,Balance of Power,33592,33592,Rank 1/2,,Increases your chance to hit with all spells and reduces the chance you'll be hit by spells by 2%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=33592,Talent: Balance of Power; tree row 6
Druid,Balance,Talent,Balance of Power,33596,33592,Rank 2/2,,Increases your chance to hit with all spells and reduces the chance you'll be hit by spells by 4%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=33596,Talent: Balance of Power; tree row 6
Druid,Balance,Talent,Brambles,16836,16836,Rank 1/3,,Increases damage caused by your Thorns and Entangling Roots spells by 25%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16836,Talent: Brambles; tree row 3
Druid,Balance,Talent,Brambles,16839,16836,Rank 2/3,,Increases damage caused by your Thorns and Entangling Roots spells by 50%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16839,Talent: Brambles; tree row 3
Druid,Balance,Talent,Brambles,16840,16836,Rank 3/3,,Increases damage caused by your Thorns and Entangling Roots spells by 75%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16840,Talent: Brambles; tree row 3
Druid,Balance,Talent,Celestial Focus,16850,16850,Rank 1/3,,Gives your Starfire spell a 5% chance to stun the target for 3 sec and increases the chance you'll resist spell interruption when casting your Wrath spell by 25%.,Talent Passive,Data only,,3,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16850,Talent: Celestial Focus; tree row 4
Druid,Balance,Talent,Celestial Focus,16923,16850,Rank 2/3,,Gives your Starfire spell a 10% chance to stun the target for 3 sec and increases the chance you'll resist spell interruption when casting your Wrath spell by 50%.,Talent Passive,Data only,,3,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16923,Talent: Celestial Focus; tree row 4
