Race,Type,Name,Spell ID,Canonical ID,Rank,Description,Category,HUD Row,Cooldown,Duration,Aura ID,Track Mode,Tags,Wowhead Source,Notes
BloodElf,Racial,Arcane Torrent,25046,25046,,"Silence all enemies within 8 yards for 2 sec. In addition, you gain 10 Energy for each Mana Tap charge currently affecting you.",Interrupt,Utility,120,2,,Cooldown,"INTERRUPT, RESOURCE, SILENCE",https://www.wowhead.com/tbc/spell=25046,Race-filtered at runtime
BloodElf,Racial,Arcane Torrent,28730,28730,,"Silence all enemies within 8 yards for 2 sec. In addition, you gain 10 Mana for each Mana Tap charge currently affecting you.",Interrupt,Utility,120,2,,Cooldown,"INTERRUPT, RESOURCE, SILENCE",https://www.wowhead.com/tbc/spell=28730,Race-filtered at runtime
BloodElf,Racial,Consume Magic,32676,32676,,Dispels one beneficial Magic effect from the caster and gives them 120 to 154 mana. The dispelled effect must be a priest spell.,Utility,Utility,120,,,Cooldown,"MINOR, RESOURCE, UTILITY",https://www.wowhead.com/tbc/spell=32676,Race-filtered at runtime
BloodElf,Racial,Mana Tap,28734,28734,,Reduces target's mana by 50 and charges you with Arcane energy for 10 min. This effect stacks up to 3 times.,Utility,Utility,30,600,,Cooldown,"RESOURCE, UTILITY",https://www.wowhead.com/tbc/spell=28734,Race-filtered at runtime
Draenei,Racial,Gift of the Naaru,28880,28880,,Heals the target of 50 damage over 15 sec.,Defensive,Utility,180,15,,Cooldown,"EXTERNAL_DEFENSIVE, HEAL, HEAL_SINGLE, HOT",https://www.wowhead.com/tbc/spell=28880,Race-filtered at runtime
Draenei,Racial,Symbol of Hope,32548,32548,,"Greatly increases the morale of party members, giving them 33 mana every 5 sec. Effect lasts 15 sec.",Resource,Main,300,15,,Cooldown,"MAJOR, RESOURCE",https://www.wowhead.com/tbc/spell=32548,Race-filtered at runtime
Dwarf,Racial,Stoneform,20594,20594,,"While active, grants immunity to Bleed, Poison, and Disease effects. In addition, Armor increased by 10%. Lasts 8 sec.",Defensive,Utility,180,8,,Cooldown,"CC_BREAK, DEFENSIVE, DISPEL_DISEASE, DISPEL_POISON, MINOR",https://www.wowhead.com/tbc/spell=20594,Race-filtered at runtime
Gnome,Racial,Escape Artist,20589,20589,,Escape the effects of any immobilization or movement speed reduction effect.,Defensive,Utility,105,,,Cooldown,"CC_BREAK, MOVEMENT",https://www.wowhead.com/tbc/spell=20589,Race-filtered at runtime
Human,Racial,Feedback,13896,13896,Rank 1,"The priest becomes surrounded with anti-magic energy. Any successful spell cast against the priest will burn 18 of the attacker's Mana, causing 1 Shadow damage for each point of Mana burned. Lasts 15 sec.",Defensive,Utility,180,15,,Cooldown + aura,"DEFENSIVE, HAS_BUFF, MAJOR",https://www.wowhead.com/tbc/spell=13896,Race-filtered at runtime
Human,Racial,Feedback,19271,13896,Rank 2,"The priest becomes surrounded with anti-magic energy. Any successful spell cast against the priest will burn 35 of the attacker's Mana, causing 1 Shadow damage for each point of Mana burned. Lasts 15 sec.",Defensive,Utility,180,15,,Cooldown + aura,"DEFENSIVE, HAS_BUFF, MAJOR",https://www.wowhead.com/tbc/spell=19271,Race-filtered at runtime
Human,Racial,Feedback,19273,13896,Rank 3,"The priest becomes surrounded with anti-magic energy. Any successful spell cast against the priest will burn 54 of the attacker's Mana, causing 1 Shadow damage for each point of Mana burned. Lasts 15 sec.",Defensive,Utility,180,15,,Cooldown + aura,"DEFENSIVE, HAS_BUFF, MAJOR",https://www.wowhead.com/tbc/spell=19273,Race-filtered at runtime
Human,Racial,Feedback,19274,13896,Rank 4,"The priest becomes surrounded with anti-magic energy. Any successful spell cast against the priest will burn 77 of the attacker's Mana, causing 1 Shadow damage for each point of Mana burned. Lasts 15 sec.",Defensive,Utility,180,15,,Cooldown + aura,"DEFENSIVE, HAS_BUFF, MAJOR",https://www.wowhead.com/tbc/spell=19274,Race-filtered at runtime
Human,Racial,Feedback,19275,13896,Rank 5,"The priest becomes surrounded with anti-magic energy. Any successful spell cast against the priest will burn 105 of the attacker's Mana, causing 1 Shadow damage for each point of Mana burned. Lasts 15 sec.",Defensive,Utility,180,15,,Cooldown + aura,"DEFENSIVE, HAS_BUFF, MAJOR",https://www.wowhead.com/tbc/spell=19275,Race-filtered at runtime
Human,Racial,Feedback,25441,13896,Rank 6,"The priest becomes surrounded with anti-magic energy. Any successful spell cast against the priest will burn 165 of the attacker's Mana, causing 1 Shadow damage for each point of Mana burned. Lasts 15 sec.",Defensive,Utility,180,15,,Cooldown + aura,"DEFENSIVE, HAS_BUFF, MAJOR",https://www.wowhead.com/tbc/spell=25441,Race-filtered at runtime
Human,Racial,Perception,20600,20600,,Dramatically increases stealth detection for 20 sec.,Utility,Utility,180,20,,Cooldown,UTILITY,https://www.wowhead.com/tbc/spell=20600,Race-filtered at runtime
NightElf,Racial,Elune's Grace,2651,2651,,Reduces the chance you'll be hit by melee and ranged attacks by 20% for 15 sec.,Defensive,Utility,180,15,,Cooldown + aura,"DEFENSIVE, HAS_BUFF, MAJOR, PERSONAL_DEFENSIVE",https://www.wowhead.com/tbc/spell=2651,Race-filtered at runtime
NightElf,Racial,Shadowmeld,20580,20580,,"Activate to slip into the shadows, reducing the chance for enemies to detect your presence. Lasts until cancelled or upon moving. Night Elf Rogues and Druids with Shadowmeld are more difficult to detect while stealthed or prowling.",Utility,Utility,10,,,Cooldown,"STEALTH, UTILITY",https://www.wowhead.com/tbc/spell=20580,Race-filtered at runtime
NightElf,Racial,Starshards,10797,10797,Rank 1,"Rains starshards down on the enemy target's head, causing 60 Arcane damage over 15 sec.",Offensive,Main,30,15,,Cooldown + aura,"DPS, HAS_DOT, MINOR",https://www.wowhead.com/tbc/spell=10797,Race-filtered at runtime
NightElf,Racial,Starshards,19296,10797,Rank 2,"Rains starshards down on the enemy target's head, causing 115 Arcane damage over 15 sec.",Offensive,Main,30,15,,Cooldown + aura,"DPS, HAS_DOT, MINOR",https://www.wowhead.com/tbc/spell=19296,Race-filtered at runtime
NightElf,Racial,Starshards,19299,10797,Rank 3,"Rains starshards down on the enemy target's head, causing 200 Arcane damage over 15 sec.",Offensive,Main,30,15,,Cooldown + aura,"DPS, HAS_DOT, MINOR",https://www.wowhead.com/tbc/spell=19299,Race-filtered at runtime
NightElf,Racial,Starshards,19302,10797,Rank 4,"Rains starshards down on the enemy target's head, causing 290 Arcane damage over 15 sec.",Offensive,Main,30,15,,Cooldown + aura,"DPS, HAS_DOT, MINOR",https://www.wowhead.com/tbc/spell=19302,Race-filtered at runtime
NightElf,Racial,Starshards,19303,10797,Rank 5,"Rains starshards down on the enemy target's head, causing 395 Arcane damage over 15 sec.",Offensive,Main,30,15,,Cooldown + aura,"DPS, HAS_DOT, MINOR",https://www.wowhead.com/tbc/spell=19303,Race-filtered at runtime
NightElf,Racial,Starshards,19304,10797,Rank 6,"Rains starshards down on the enemy target's head, causing 525 Arcane damage over 15 sec.",Offensive,Main,30,15,,Cooldown + aura,"DPS, HAS_DOT, MINOR",https://www.wowhead.com/tbc/spell=19304,Race-filtered at runtime
NightElf,Racial,Starshards,19305,10797,Rank 7,"Rains starshards down on the enemy target's head, causing 650 Arcane damage over 15 sec.",Offensive,Main,30,15,,Cooldown + aura,"DPS, HAS_DOT, MINOR",https://www.wowhead.com/tbc/spell=19305,Race-filtered at runtime
NightElf,Racial,Starshards,25446,10797,Rank 8,"Rains starshards down on the enemy target's head, causing 785 Arcane damage over 15 sec.",Offensive,Main,30,15,,Cooldown + aura,"DPS, HAS_DOT, MINOR",https://www.wowhead.com/tbc/spell=25446,Race-filtered at runtime
Orc,Racial,Blood Fury,20572,20572,,"Increases attack power by 6, but reduces healing effects on you by 50%. Lasts 15 sec.",Offensive,Main,120,15,,Cooldown + aura,"DPS, HAS_BUFF, MAJOR",https://www.wowhead.com/tbc/spell=20572,Race-filtered at runtime
Orc,Racial,Blood Fury,33697,33697,,"Increases melee attack power by 6 and your damage and healing from spells and effects by up to 5, but reduces healing effects on you by 50%. Lasts 15 sec.",Offensive,Main,120,15,,Cooldown + aura,"DPS, HAS_BUFF, MAJOR",https://www.wowhead.com/tbc/spell=33697,Race-filtered at runtime
Orc,Racial,Blood Fury,33702,33702,,"Increases your damage and healing from spells and effects by up to 5, but reduces healing effects on you by 50%. Lasts 15 sec.",Offensive,Main,120,15,,Cooldown + aura,"DPS, HAS_BUFF, MAJOR",https://www.wowhead.com/tbc/spell=33702,Race-filtered at runtime
Scourge,Racial,Cannibalize,20577,20577,,"When activated, regenerates 7% of total health every 2 sec for 10 sec. Only works on Humanoid or Undead corpses within 5 yds. Any movement, action, or damage taken while Cannibalizing will cancel the effect.",Utility,Utility,120,10,,Cooldown,UTILITY,https://www.wowhead.com/tbc/spell=20577,Race-filtered at runtime
Scourge,Racial,Devouring Plague,2944,2944,Rank 1,Afflicts the target with a disease that causes 152 Shadow damage over 24 sec. Damage caused by the Devouring Plague heals the caster.,Offensive,Main,180,24,,Cooldown + aura,"DPS, HAS_DEBUFF, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=2944,Race-filtered at runtime
Scourge,Racial,Devouring Plague,19276,2944,Rank 2,Afflicts the target with a disease that causes 272 Shadow damage over 24 sec. Damage caused by the Devouring Plague heals the caster.,Offensive,Main,180,24,,Cooldown + aura,"DPS, HAS_DEBUFF, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=19276,Race-filtered at runtime
Scourge,Racial,Devouring Plague,19277,2944,Rank 3,Afflicts the target with a disease that causes 400 Shadow damage over 24 sec. Damage caused by the Devouring Plague heals the caster.,Offensive,Main,180,24,,Cooldown + aura,"DPS, HAS_DEBUFF, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=19277,Race-filtered at runtime
Scourge,Racial,Devouring Plague,19278,2944,Rank 4,Afflicts the target with a disease that causes 544 Shadow damage over 24 sec. Damage caused by the Devouring Plague heals the caster.,Offensive,Main,180,24,,Cooldown + aura,"DPS, HAS_DEBUFF, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=19278,Race-filtered at runtime
Scourge,Racial,Devouring Plague,19279,2944,Rank 5,Afflicts the target with a disease that causes 712 Shadow damage over 24 sec. Damage caused by the Devouring Plague heals the caster.,Offensive,Main,180,24,,Cooldown + aura,"DPS, HAS_DEBUFF, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=19279,Race-filtered at runtime
Scourge,Racial,Devouring Plague,19280,2944,Rank 6,Afflicts the target with a disease that causes 904 Shadow damage over 24 sec. Damage caused by the Devouring Plague heals the caster.,Offensive,Main,180,24,,Cooldown + aura,"DPS, HAS_DEBUFF, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=19280,Race-filtered at runtime
Scourge,Racial,Devouring Plague,25467,2944,Rank 7,Afflicts the target with a disease that causes 1216 Shadow damage over 24 sec. Damage caused by the Devouring Plague heals the caster.,Offensive,Main,180,24,,Cooldown + aura,"DPS, HAS_DEBUFF, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=25467,Race-filtered at runtime
Scourge,Racial,Will of the Forsaken,7744,7744,,"Provides immunity to Charm, Fear and Sleep while active. May also be used while already afflicted by Charm, Fear or Sleep. Lasts 5 sec.",Defensive,Utility,120,5,,Cooldown,"CC_BREAK, CC_IMMUNITY",https://www.wowhead.com/tbc/spell=7744,Race-filtered at runtime
Shared,Shared ability,Immune Fear/Polymorph/Stun,23276,23276,,"Dispels all Fear, Polymorph and Stun effects.",Defensive,Utility,300,,,Cooldown,CC_BREAK,https://www.wowhead.com/tbc/spell=23276,Available to all classes when learned
Shared,Shared ability,PvP Trinket,42292,42292,,Removes all movement impairing effects and all effects which cause loss of control of your character.,Defensive,Utility,120,,,Cooldown,CC_BREAK,https://www.wowhead.com/tbc/spell=42292,Available to all classes when learned
Tauren,Racial,War Stomp,20549,20549,,Stuns up to 5 enemies within 8 yds for 2 sec.,Crowd Control,Utility,120,2,,Cooldown,CC_HARD,https://www.wowhead.com/tbc/spell=20549,Race-filtered at runtime
Troll,Racial,Berserking,26297,26297,,Increases your attack speed by 10% to 30%. At full health the speed increase is 10% with a greater effect up to 30% if you are badly hurt when you activate Berserking. Lasts 10 sec.,Offensive,Main,180,10,,Cooldown + aura,"DPS, HAS_BUFF, MAJOR",https://www.wowhead.com/tbc/spell=26297,Race-filtered at runtime
Troll,Racial,Hex of Weakness,9035,9035,Rank 1,"Weakens the target enemy, reducing damage caused by 2 and reducing the effectiveness of any healing by 20%. Lasts 2 min.",Utility,Utility,0,120,,Cooldown,"DEBUFF, FILLER, UTILITY",https://www.wowhead.com/tbc/spell=9035,Race-filtered at runtime
Troll,Racial,Hex of Weakness,19281,9035,Rank 2,"Weakens the target enemy, reducing damage caused by 4 and reducing the effectiveness of any healing by 20%. Lasts 2 min.",Utility,Utility,0,120,,Cooldown,"DEBUFF, FILLER, UTILITY",https://www.wowhead.com/tbc/spell=19281,Race-filtered at runtime
Troll,Racial,Hex of Weakness,19282,9035,Rank 3,"Weakens the target enemy, reducing damage caused by 7 and reducing the effectiveness of any healing by 20%. Lasts 2 min.",Utility,Utility,0,120,,Cooldown,"DEBUFF, FILLER, UTILITY",https://www.wowhead.com/tbc/spell=19282,Race-filtered at runtime
Troll,Racial,Hex of Weakness,19283,9035,Rank 4,"Weakens the target enemy, reducing damage caused by 11 and reducing the effectiveness of any healing by 20%. Lasts 2 min.",Utility,Utility,0,120,,Cooldown,"DEBUFF, FILLER, UTILITY",https://www.wowhead.com/tbc/spell=19283,Race-filtered at runtime
Troll,Racial,Hex of Weakness,19284,9035,Rank 5,"Weakens the target enemy, reducing damage caused by 15 and reducing the effectiveness of any healing by 20%. Lasts 2 min.",Utility,Utility,0,120,,Cooldown,"DEBUFF, FILLER, UTILITY",https://www.wowhead.com/tbc/spell=19284,Race-filtered at runtime
Troll,Racial,Hex of Weakness,19285,9035,Rank 6,"Weakens the target enemy, reducing damage caused by 20 and reducing the effectiveness of any healing by 20%. Lasts 2 min.",Utility,Utility,0,120,,Cooldown,"DEBUFF, FILLER, UTILITY",https://www.wowhead.com/tbc/spell=19285,Race-filtered at runtime
Troll,Racial,Hex of Weakness,25470,9035,Rank 7,"Weakens the target enemy, reducing damage caused by 35 and reducing the effectiveness of any healing by 20%. Lasts 2 min.",Utility,Utility,0,120,,Cooldown,"DEBUFF, FILLER, UTILITY",https://www.wowhead.com/tbc/spell=25470,Race-filtered at runtime
Troll,Racial,Shadowguard,18137,18137,Rank 1,"The caster is surrounded by shadows. When a spell, melee or ranged attack hits the caster, the attacker will be struck for 20 Shadow damage. Attackers can only be damaged once every few seconds. This damage causes no threat. 3 charges. Lasts 10 min.",Offensive,Main,0,600,,Cooldown + aura,"DPS, HAS_BUFF, LONG_BUFF",https://www.wowhead.com/tbc/spell=18137,Race-filtered at runtime
Troll,Racial,Shadowguard,19308,18137,Rank 2,"The caster is surrounded by shadows. When a spell, melee or ranged attack hits the caster, the attacker will be struck for 35 Shadow damage. Attackers can only be damaged once every few seconds. This damage causes no threat. 3 charges. Lasts 10 min.",Offensive,Main,0,600,,Cooldown + aura,"DPS, HAS_BUFF, LONG_BUFF",https://www.wowhead.com/tbc/spell=19308,Race-filtered at runtime
Troll,Racial,Shadowguard,19309,18137,Rank 3,"The caster is surrounded by shadows. When a spell, melee or ranged attack hits the caster, the attacker will be struck for 51 Shadow damage. Attackers can only be damaged once every few seconds. This damage causes no threat. 3 charges. Lasts 10 min.",Offensive,Main,0,600,,Cooldown + aura,"DPS, HAS_BUFF, LONG_BUFF",https://www.wowhead.com/tbc/spell=19309,Race-filtered at runtime
Troll,Racial,Shadowguard,19310,18137,Rank 4,"The caster is surrounded by shadows. When a spell, melee or ranged attack hits the caster, the attacker will be struck for 70 Shadow damage. Attackers can only be damaged once every few seconds. This damage causes no threat. 3 charges. Lasts 10 min.",Offensive,Main,0,600,,Cooldown + aura,"DPS, HAS_BUFF, LONG_BUFF",https://www.wowhead.com/tbc/spell=19310,Race-filtered at runtime
Troll,Racial,Shadowguard,19311,18137,Rank 5,"The caster is surrounded by shadows. When a spell, melee or ranged attack hits the caster, the attacker will be struck for 90 Shadow damage. Attackers can only be damaged once every few seconds. This damage causes no threat. 3 charges. Lasts 10 min.",Offensive,Main,0,600,,Cooldown + aura,"DPS, HAS_BUFF, LONG_BUFF",https://www.wowhead.com/tbc/spell=19311,Race-filtered at runtime
Troll,Racial,Shadowguard,19312,18137,Rank 6,"The caster is surrounded by shadows. When a spell, melee or ranged attack hits the caster, the attacker will be struck for 116 Shadow damage. Attackers can only be damaged once every few seconds. This damage causes no threat. 3 charges. Lasts 10 min.",Offensive,Main,0,600,,Cooldown + aura,"DPS, HAS_BUFF, LONG_BUFF",https://www.wowhead.com/tbc/spell=19312,Race-filtered at runtime
Troll,Racial,Shadowguard,25477,18137,Rank 7,"The caster is surrounded by shadows. When a spell, melee or ranged attack hits the caster, the attacker will be struck for 130 Shadow damage. Attackers can only be damaged once every few seconds. This damage causes no threat. 3 charges. Lasts 10 min.",Offensive,Main,0,600,,Cooldown + aura,"DPS, HAS_BUFF, LONG_BUFF",https://www.wowhead.com/tbc/spell=25477,Race-filtered at runtime
"['Dwarf', 'Draenei']",Racial,Chastise,44041,44046,Rank 1,"Chastise the target, causing 47 to 53 Holy damage and Immobilizing them for up to 2 sec. Only works against Humanoids. This spell causes very low threat.",Crowd Control,Utility,30,2,,Cooldown,"CC_SOFT, ROOT",https://www.wowhead.com/tbc/spell=44041,Race-filtered at runtime
"['Dwarf', 'Draenei']",Racial,Chastise,44043,44046,Rank 2,"Chastise the target, causing 93 to 107 Holy damage and Immobilizing them for up to 2 sec. Only works against Humanoids. This spell causes very low threat.",Crowd Control,Utility,30,2,,Cooldown,"CC_SOFT, ROOT",https://www.wowhead.com/tbc/spell=44043,Race-filtered at runtime
"['Dwarf', 'Draenei']",Racial,Chastise,44044,44046,Rank 3,"Chastise the target, causing 139 to 161 Holy damage and Immobilizing them for up to 2 sec. Only works against Humanoids. This spell causes very low threat.",Crowd Control,Utility,30,2,,Cooldown,"CC_SOFT, ROOT",https://www.wowhead.com/tbc/spell=44044,Race-filtered at runtime
"['Dwarf', 'Draenei']",Racial,Chastise,44045,44046,Rank 4,"Chastise the target, causing 209 to 241 Holy damage and Immobilizing them for up to 2 sec. Only works against Humanoids. This spell causes very low threat.",Crowd Control,Utility,30,2,,Cooldown,"CC_SOFT, ROOT",https://www.wowhead.com/tbc/spell=44045,Race-filtered at runtime
"['Dwarf', 'Draenei']",Racial,Chastise,44046,44046,Rank 5,"Chastise the target, causing 278 to 322 Holy damage and Immobilizing them for up to 2 sec. Only works against Humanoids. This spell causes very low threat.",Crowd Control,Utility,30,2,,Cooldown,"CC_SOFT, ROOT",https://www.wowhead.com/tbc/spell=44046,Race-filtered at runtime
"['Dwarf', 'Human']",Racial,Desperate Prayer,13908,13908,Rank 1,"Instantly heals the caster for 
148 to 
185.",Defensive,Utility,600,,,Cooldown,"HEAL_SINGLE, MAJOR, PERSONAL_DEFENSIVE",https://www.wowhead.com/tbc/spell=13908,Race-filtered at runtime
"['Dwarf', 'Human']",Racial,Desperate Prayer,19236,13908,Rank 2,"Instantly heals the caster for 
283 to 
346.",Defensive,Utility,600,,,Cooldown,"HEAL_SINGLE, MAJOR, PERSONAL_DEFENSIVE",https://www.wowhead.com/tbc/spell=19236,Race-filtered at runtime
"['Dwarf', 'Human']",Racial,Desperate Prayer,19238,13908,Rank 3,"Instantly heals the caster for 
474 to 
570.",Defensive,Utility,600,,,Cooldown,"HEAL_SINGLE, MAJOR, PERSONAL_DEFENSIVE",https://www.wowhead.com/tbc/spell=19238,Race-filtered at runtime
"['Dwarf', 'Human']",Racial,Desperate Prayer,19240,13908,Rank 4,"Instantly heals the caster for 
619 to 
740.",Defensive,Utility,600,,,Cooldown,"HEAL_SINGLE, MAJOR, PERSONAL_DEFENSIVE",https://www.wowhead.com/tbc/spell=19240,Race-filtered at runtime
"['Dwarf', 'Human']",Racial,Desperate Prayer,19241,13908,Rank 5,"Instantly heals the caster for 
872 to 
1033.",Defensive,Utility,600,,,Cooldown,"HEAL_SINGLE, MAJOR, PERSONAL_DEFENSIVE",https://www.wowhead.com/tbc/spell=19241,Race-filtered at runtime
"['Dwarf', 'Human']",Racial,Desperate Prayer,19242,13908,Rank 6,"Instantly heals the caster for 
1145 to 
1350.",Defensive,Utility,600,,,Cooldown,"HEAL_SINGLE, MAJOR, PERSONAL_DEFENSIVE",https://www.wowhead.com/tbc/spell=19242,Race-filtered at runtime
"['Dwarf', 'Human']",Racial,Desperate Prayer,19243,13908,Rank 7,"Instantly heals the caster for 
1373 to 
1612.",Defensive,Utility,600,,,Cooldown,"HEAL_SINGLE, MAJOR, PERSONAL_DEFENSIVE",https://www.wowhead.com/tbc/spell=19243,Race-filtered at runtime
"['Dwarf', 'Human']",Racial,Desperate Prayer,25437,13908,Rank 8,"Instantly heals the caster for 
1637 to 
1924.",Defensive,Utility,600,,,Cooldown,"HEAL_SINGLE, MAJOR, PERSONAL_DEFENSIVE",https://www.wowhead.com/tbc/spell=25437,Race-filtered at runtime
"['Scourge', 'BloodElf']",Racial,Touch of Weakness,2652,2652,Rank 1,The next melee attack against the caster will cause 8 Shadow damage and reduce the damage caused by the attacker by 2 for 2 min.,Defensive,Utility,0,600,,Cooldown + aura,"DEFENSIVE, HAS_BUFF, LONG_BUFF",https://www.wowhead.com/tbc/spell=2652,Race-filtered at runtime
"['Scourge', 'BloodElf']",Racial,Touch of Weakness,19261,2652,Rank 2,The next melee attack against the caster will cause 15 Shadow damage and reduce the damage caused by the attacker by 4 for 2 min.,Defensive,Utility,0,600,,Cooldown + aura,"DEFENSIVE, HAS_BUFF, LONG_BUFF",https://www.wowhead.com/tbc/spell=19261,Race-filtered at runtime
"['Scourge', 'BloodElf']",Racial,Touch of Weakness,19262,2652,Rank 3,The next melee attack against the caster will cause 24 Shadow damage and reduce the damage caused by the attacker by 7 for 2 min.,Defensive,Utility,0,600,,Cooldown + aura,"DEFENSIVE, HAS_BUFF, LONG_BUFF",https://www.wowhead.com/tbc/spell=19262,Race-filtered at runtime
"['Scourge', 'BloodElf']",Racial,Touch of Weakness,19264,2652,Rank 4,The next melee attack against the caster will cause 35 Shadow damage and reduce the damage caused by the attacker by 11 for 2 min.,Defensive,Utility,0,600,,Cooldown + aura,"DEFENSIVE, HAS_BUFF, LONG_BUFF",https://www.wowhead.com/tbc/spell=19264,Race-filtered at runtime
"['Scourge', 'BloodElf']",Racial,Touch of Weakness,19265,2652,Rank 5,The next melee attack on the caster will cause 48 Shadow damage and reduce the damage caused by the attacker by 15 for 2 min.,Defensive,Utility,0,600,,Cooldown + aura,"DEFENSIVE, HAS_BUFF, LONG_BUFF",https://www.wowhead.com/tbc/spell=19265,Race-filtered at runtime
"['Scourge', 'BloodElf']",Racial,Touch of Weakness,19266,2652,Rank 6,The next melee attack on the caster will cause 64 Shadow damage and reduce the damage caused by the attacker by 20 for 2 min.,Defensive,Utility,0,600,,Cooldown + aura,"DEFENSIVE, HAS_BUFF, LONG_BUFF",https://www.wowhead.com/tbc/spell=19266,Race-filtered at runtime
"['Scourge', 'BloodElf']",Racial,Touch of Weakness,25461,2652,Rank 7,The next melee attack on the caster will cause 80 Shadow damage and reduce the damage caused by the attacker by 35 for 2 min.,Defensive,Utility,0,600,,Cooldown + aura,"DEFENSIVE, HAS_BUFF, LONG_BUFF",https://www.wowhead.com/tbc/spell=25461,Race-filtered at runtime
