Specialization,Type,Name,Spell ID,Canonical ID,Rank,Learned Level,Description,Category,HUD Row,Cooldown,Duration,Resource Cost,Aura ID,Track Mode,Tags,Wowhead Source,Notes
Assassination,Talent Ability,Cold Blood,14177,14177,Rank 1/1,,"When activated, increases the critical strike chance of your next offensive ability by 100%.",Offensive,Main,180,,,,Cooldown + aura,"DPS, HAS_BUFF, MAJOR",https://www.wowhead.com/tbc/spell=14177,Talent-required | Talent: Cold Blood
Assassination,Talent,Deadened Nerves,31380,31380,Rank 1/5,,Decreases all physical damage taken by 1%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31380,Talent: Deadened Nerves; tree row 7
Assassination,Talent,Deadened Nerves,31382,31380,Rank 2/5,,Decreases all physical damage taken by 2%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31382,Talent: Deadened Nerves; tree row 7
Assassination,Talent,Deadened Nerves,31383,31380,Rank 3/5,,Decreases all physical damage taken by 3%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31383,Talent: Deadened Nerves; tree row 7
Assassination,Talent,Deadened Nerves,31384,31380,Rank 4/5,,Decreases all physical damage taken by 4%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31384,Talent: Deadened Nerves; tree row 7
Assassination,Talent,Deadened Nerves,31385,31380,Rank 5/5,,Decreases all physical damage taken by 5%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31385,Talent: Deadened Nerves; tree row 7
Assassination,Talent,Find Weakness,31233,31233,Rank 1/5,,Your finishing moves increase the damage of all your offensive abilities by 2% for 10 sec.,Talent Passive,Data only,,10,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31233,Talent: Find Weakness; tree row 8
Assassination,Talent,Find Weakness,31239,31233,Rank 2/5,,Your finishing moves increase the damage of all your offensive abilities by 4% for 10 sec.,Talent Passive,Data only,,10,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31239,Talent: Find Weakness; tree row 8
Assassination,Talent,Find Weakness,31240,31233,Rank 3/5,,Your finishing moves increase the damage of all your offensive abilities by 6% for 10 sec.,Talent Passive,Data only,,10,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31240,Talent: Find Weakness; tree row 8
Assassination,Talent,Find Weakness,31241,31233,Rank 4/5,,Your finishing moves increase the damage of all your offensive abilities by 8% for 10 sec.,Talent Passive,Data only,,10,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31241,Talent: Find Weakness; tree row 8
Assassination,Talent,Find Weakness,31242,31233,Rank 5/5,,Your finishing moves increase the damage of all your offensive abilities by 10% for 10 sec.,Talent Passive,Data only,,10,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31242,Talent: Find Weakness; tree row 8
Assassination,Talent,Fleet Footed,31208,31208,Rank 1/2,,Increases your chance to resist movement impairing effects by 5% and increases your movement speed by 8%. This does not stack with other movement speed increasing effects.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31208,Talent: Fleet Footed; tree row 5
Assassination,Talent,Fleet Footed,31209,31208,Rank 2/2,,Increases your chance to resist movement impairing effects by 10% and increases your movement speed by 15%. This does not stack with other movement speed increasing effects.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31209,Talent: Fleet Footed; tree row 5
Assassination,Talent,Improved Eviscerate,14162,14162,Rank 1/3,,Increases the damage done by your Eviscerate ability by 5%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14162,Talent: Improved Eviscerate; tree row 1
Assassination,Talent,Improved Eviscerate,14163,14162,Rank 2/3,,Increases the damage done by your Eviscerate ability by 10%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14163,Talent: Improved Eviscerate; tree row 1
Assassination,Talent,Improved Eviscerate,14164,14162,Rank 3/3,,Increases the damage done by your Eviscerate ability by 15%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14164,Talent: Improved Eviscerate; tree row 1
Assassination,Talent,Improved Expose Armor,14168,14168,Rank 1/2,,Increases the armor reduced by your Expose Armor ability by 25%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14168,Talent: Improved Expose Armor; tree row 3
Assassination,Talent,Improved Expose Armor,14169,14168,Rank 2/2,,Increases the armor reduced by your Expose Armor ability by 50%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14169,Talent: Improved Expose Armor; tree row 3
Assassination,Talent,Improved Kidney Shot,14174,14174,Rank 1/3,,"While affected by your Kidney Shot ability, the target receives an additional 3% damage from all sources.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14174,Talent: Improved Kidney Shot; tree row 5
Assassination,Talent,Improved Kidney Shot,14175,14174,Rank 2/3,,"While affected by your Kidney Shot ability, the target receives an additional 6% damage from all sources.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14175,Talent: Improved Kidney Shot; tree row 5
Assassination,Talent,Improved Kidney Shot,14176,14174,Rank 3/3,,"While affected by your Kidney Shot ability, the target receives an additional 9% damage from all sources.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14176,Talent: Improved Kidney Shot; tree row 5
Assassination,Talent,Improved Poisons,14113,14113,Rank 1/5,,Increases the chance to apply poisons to your target by 2%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14113,Talent: Improved Poisons; tree row 4
Assassination,Talent,Improved Poisons,14114,14113,Rank 2/5,,Increases the chance to apply poisons to your target by 4%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14114,Talent: Improved Poisons; tree row 4
Assassination,Talent,Improved Poisons,14115,14113,Rank 3/5,,Increases the chance to apply poisons to your target by 6%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14115,Talent: Improved Poisons; tree row 4
Assassination,Talent,Improved Poisons,14116,14113,Rank 4/5,,Increases the chance to apply poisons to your target by 8%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14116,Talent: Improved Poisons; tree row 4
Assassination,Talent,Improved Poisons,14117,14113,Rank 5/5,,Increases the chance to apply poisons to your target by 10%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14117,Talent: Improved Poisons; tree row 4
Assassination,Talent,Lethality,14128,14128,Rank 1/5,,"Increases the critical strike damage bonus of your Sinister Strike, Gouge, Backstab, Ghostly Strike, Mutilate, Shiv, and Hemorrhage abilities by 6%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14128,Talent: Lethality; tree row 3
Assassination,Talent,Lethality,14132,14128,Rank 2/5,,"Increases the critical strike damage bonus of your Sinister Strike, Gouge, Backstab, Ghostly Strike, Mutilate, Shiv, and Hemorrhage abilities by 12%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14132,Talent: Lethality; tree row 3
Assassination,Talent,Lethality,14135,14128,Rank 3/5,,"Increases the critical strike damage bonus of your Sinister Strike, Gouge, Backstab, Ghostly Strike, Mutilate, Shiv, and Hemorrhage abilities by 18%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14135,Talent: Lethality; tree row 3
Assassination,Talent,Lethality,14136,14128,Rank 4/5,,"Increases the critical strike damage bonus of your Sinister Strike, Gouge, Backstab, Ghostly Strike, Mutilate, Shiv, and Hemorrhage abilities by 24%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14136,Talent: Lethality; tree row 3
Assassination,Talent,Lethality,14137,14128,Rank 5/5,,"Increases the critical strike damage bonus of your Sinister Strike, Gouge, Backstab, Ghostly Strike, Mutilate, Shiv, and Hemorrhage abilities by 30%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14137,Talent: Lethality; tree row 3
Assassination,Talent,Malice,14138,14138,Rank 1/5,,Increases your critical strike chance by 1%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14138,Talent: Malice; tree row 1
Assassination,Talent,Malice,14139,14138,Rank 2/5,,Increases your critical strike chance by 2%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14139,Talent: Malice; tree row 1
Assassination,Talent,Malice,14140,14138,Rank 3/5,,Increases your critical strike chance by 3%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14140,Talent: Malice; tree row 1
Assassination,Talent,Malice,14141,14138,Rank 4/5,,Increases your critical strike chance by 4%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14141,Talent: Malice; tree row 1
Assassination,Talent,Malice,14142,14138,Rank 5/5,,Increases your critical strike chance by 5%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=14142,Talent: Malice; tree row 1
Assassination,Talent,Master Poisoner,31226,31226,Rank 1/2,,Reduces the chance your poisons will be resisted by 5% and increases your chance to resist Poison effects by an additional 15%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31226,Talent: Master Poisoner; tree row 6
Assassination,Talent,Master Poisoner,31227,31226,Rank 2/2,,Reduces the chance your poisons will be resisted by 10% and increases your chance to resist Poison effects by an additional 30%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=31227,Talent: Master Poisoner; tree row 6
