Specialization,Type,Name,Spell ID,Canonical ID,Rank,Learned Level,Description,Category,HUD Row,Cooldown,Duration,Resource Cost,Aura ID,Track Mode,Tags,Wowhead Source,Notes
Arms,Ability,Overpower,7384,7384,Rank 1,12,"Instantly overpower the enemy, causing weapon damage plus 5. Only useable after the target dodges. The Overpower cannot be blocked, dodged or parried.",Offensive,Main,5,,5 Rage,,Cooldown,"DPS, PVE_PVP, REACTIVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=7384,
Arms,Ability,Overpower,7887,7384,Rank 2,28,"Instantly overpower the enemy, causing weapon damage plus 15. Only useable after the target dodges. The Overpower cannot be blocked, dodged or parried.",Offensive,Main,5,,5 Rage,,Cooldown,"DPS, PVE_PVP, REACTIVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=7887,
Arms,Ability,Overpower,11584,7384,Rank 3,44,"Instantly overpower the enemy, causing weapon damage plus 25. Only useable after the target dodges. The Overpower cannot be blocked, dodged or parried.",Offensive,Main,5,,5 Rage,,Cooldown,"DPS, PVE_PVP, REACTIVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=11584,
Arms,Ability,Overpower,11585,7384,Rank 4,60,"Instantly overpower the enemy, causing weapon damage plus 35. Only useable after the target dodges. The Overpower cannot be blocked, dodged or parried.",Offensive,Main,5,,5 Rage,,Cooldown,"DPS, PVE_PVP, REACTIVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=11585,
Arms,Ability,Retaliation,20230,20230,Rank 1,20,Instantly counterattack any enemy that strikes you in melee for 15 sec. Melee attacks made from behind cannot be counterattacked. A maximum of 30 attacks will cause retaliation.,Defensive,Utility,1800,15,,,Cooldown + aura,"DEFENSIVE, DPS, HAS_BUFF, MAJOR",https://www.wowhead.com/tbc/spell=20230,
Arms,Ability,Retaliation,20240,20230,Rank 2,1,Designer note: This costs 1 rage to prevent its damage from generating rage.,Defensive,Utility,1800,15,1 Rage,,Cooldown + aura,"DEFENSIVE, DPS, HAS_BUFF, MAJOR",https://www.wowhead.com/tbc/spell=20240,
Arms,Talent,Anger Management,12296,12296,Rank 1/1,,Generates 1 rage per 3 seconds while in combat.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12296,Talent: Anger Management; tree row 3
Arms,Talent,Blood Frenzy,29836,29836,Rank 1/2,,Your Rend and Deep Wounds abilities also increase all physical damage caused to that target by 2%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=29836,Talent: Blood Frenzy; tree row 7
Arms,Talent,Blood Frenzy,29859,29836,Rank 2/2,,Your Rend and Deep Wounds abilities also increase all physical damage caused to that target by 4%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=29859,Talent: Blood Frenzy; tree row 7
Arms,Talent Ability,Death Wish,12292,12292,Rank 1/1,,"When activated, increases your physical damage by 20% and makes you immune to Fear effects, but increases all damage taken by 5%. Lasts 30 sec.",Offensive,Main,180,30,10 Rage,,Cooldown + aura,"DPS, HAS_BUFF, MAJOR",https://www.wowhead.com/tbc/spell=12292,Talent-required | Talent: Death Wish
Arms,Talent,Deep Wounds,12834,12834,Rank 1/3,,"Your critical strikes cause the opponent to bleed, dealing 20% of your melee weapon's average damage over 12 sec.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12834,Talent: Deep Wounds; tree row 3
Arms,Talent,Deep Wounds,12849,12834,Rank 2/3,,"Your critical strikes cause the opponent to bleed, dealing 40% of your melee weapon's average damage over 12 sec.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12849,Talent: Deep Wounds; tree row 3
Arms,Talent,Deep Wounds,12867,12834,Rank 3/3,,"Your critical strikes cause the opponent to bleed, dealing 60% of your melee weapon's average damage over 12 sec.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12867,Talent: Deep Wounds; tree row 3
Arms,Talent,Deflection,16462,16462,Rank 1/5,,Increases your Parry chance by 1%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16462,Talent: Deflection; tree row 1
Arms,Talent,Deflection,16463,16462,Rank 2/5,,Increases your Parry chance by 2%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16463,Talent: Deflection; tree row 1
Arms,Talent,Deflection,16464,16462,Rank 3/5,,Increases your Parry chance by 3%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16464,Talent: Deflection; tree row 1
Arms,Talent,Deflection,16465,16462,Rank 4/5,,Increases your Parry chance by 4%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16465,Talent: Deflection; tree row 1
Arms,Talent,Deflection,16466,16462,Rank 5/5,,Increases your Parry chance by 5%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16466,Talent: Deflection; tree row 1
Arms,Talent,Endless Rage,29623,29623,Rank 1/1,,You generate 25% more rage from damage dealt.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=29623,Talent: Endless Rage; tree row 9
Arms,Talent,Impale,16493,16493,Rank 1/2,,"Increases the critical strike damage bonus of your abilities in Battle, Defensive, and Berserker stance by 10%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16493,Talent: Impale; tree row 4
Arms,Talent,Impale,16494,16493,Rank 2/2,,"Increases the critical strike damage bonus of your abilities in Battle, Defensive, and Berserker stance by 20%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16494,Talent: Impale; tree row 4
Arms,Talent,Improved Charge,12285,12285,Rank 1/2,,Increases the amount of rage generated by your Charge ability by 3.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12285,Talent: Improved Charge; tree row 2
Arms,Talent,Improved Charge,12697,12285,Rank 2/2,,Increases the amount of rage generated by your Charge ability by 6.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12697,Talent: Improved Charge; tree row 2
Arms,Talent,Improved Disciplines,29723,29723,Rank 1/3,,"Reduces the cooldown of your Retaliation, Recklessness and Shield Wall abilities by 4 min and increases their duration by 2 sec.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=29723,Talent: Improved Disciplines; tree row 6
Arms,Talent,Improved Disciplines,29724,29723,Rank 2/3,,"Reduces the cooldown of your Retaliation, Recklessness and Shield Wall abilities by 7 min and increases their duration by 4 sec.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=29724,Talent: Improved Disciplines; tree row 6
Arms,Talent,Improved Disciplines,29725,29723,Rank 3/3,,"Reduces the cooldown of your Retaliation, Recklessness and Shield Wall abilities by 10 min and increases their duration by 6 sec.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=29725,Talent: Improved Disciplines; tree row 6
Arms,Talent,Improved Hamstring,12289,12289,Rank 1/3,,Gives your Hamstring ability a 5% chance to immobilize the target for 5 sec.,Talent Passive,Data only,,5,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12289,Talent: Improved Hamstring; tree row 6
Arms,Talent,Improved Hamstring,12668,12289,Rank 2/3,,Gives your Hamstring ability a 10% chance to immobilize the target for 5 sec.,Talent Passive,Data only,,5,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12668,Talent: Improved Hamstring; tree row 6
Arms,Talent,Improved Hamstring,23695,12289,Rank 3/3,,Gives your Hamstring ability a 15% chance to immobilize the target for 5 sec.,Talent Passive,Data only,,5,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=23695,Talent: Improved Hamstring; tree row 6
Arms,Talent,Improved Heroic Strike,12282,12282,Rank 1/3,,Reduces the cost of your Heroic Strike ability by 1 rage point.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12282,Talent: Improved Heroic Strike; tree row 1
Arms,Talent,Improved Heroic Strike,12663,12282,Rank 2/3,,Reduces the cost of your Heroic Strike ability by 2 rage points.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12663,Talent: Improved Heroic Strike; tree row 1
Arms,Talent,Improved Heroic Strike,12664,12282,Rank 3/3,,Reduces the cost of your Heroic Strike ability by 3 rage points.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=12664,Talent: Improved Heroic Strike; tree row 1
