Specialization,Type,Name,Spell ID,Canonical ID,Rank,Learned Level,Description,Category,HUD Row,Cooldown,Duration,Resource Cost,Aura ID,Track Mode,Tags,Wowhead Source,Notes
Class-wide / Shared,Ability,Abolish Disease,552,552,,32,"Attempts to cure 1 disease effect on the target, and 1 more disease effect every 5 seconds for 20 sec.",Utility,Utility,0,20,12% of base mana,,Cooldown,"DISPEL_DISEASE, FILLER",https://www.wowhead.com/tbc/spell=552,
Class-wide / Shared,Ability,Cure Disease,528,528,,14,Removes 1 disease from the friendly target.,Utility,Utility,0,,12% of base mana,,Cooldown,"DISPEL_DISEASE, FILLER",https://www.wowhead.com/tbc/spell=528,
Class-wide / Shared,Ability,Dispel Magic,527,527,Rank 1,18,"Dispels magic on the target, removing 1 harmful spell from a friend or 1 beneficial spell from an enemy.",Utility,Utility,0,,14% of base mana,,Cooldown,"DISPEL_MAGIC, FILLER, PURGE",https://www.wowhead.com/tbc/spell=527,
Class-wide / Shared,Ability,Dispel Magic,988,527,Rank 2,36,"Dispels magic on the target, removing 2 harmful spells from a friend or 2 beneficial spells from an enemy.",Utility,Utility,0,,14% of base mana,,Cooldown,"DISPEL_MAGIC, FILLER, PURGE",https://www.wowhead.com/tbc/spell=988,
Class-wide / Shared,Ability,Fade,586,586,Rank 1,8,"Fade out, discouraging enemies from attacking you for 10 sec.",Defensive,Utility,30,10,40 Mana,,Cooldown,"DEFENSIVE, MINOR, UTILITY",https://www.wowhead.com/tbc/spell=586,
Class-wide / Shared,Ability,Fade,9578,586,Rank 1,20,"Fade out, discouraging enemies from attacking you for 10 sec. More effective than Fade (Rank 1).",Defensive,Utility,30,10,75 Mana,,Cooldown,"DEFENSIVE, MINOR, UTILITY",https://www.wowhead.com/tbc/spell=9578,
Class-wide / Shared,Ability,Fade,9579,586,Rank 2,30,"Fade out, discouraging enemies from attacking you for 10 sec. More effective than Fade (Rank 2).",Defensive,Utility,30,10,125 Mana,,Cooldown,"DEFENSIVE, MINOR, UTILITY",https://www.wowhead.com/tbc/spell=9579,
Class-wide / Shared,Ability,Fade,9592,586,Rank 3,40,"Fade out, discouraging enemies from attacking you for 10 sec. More effective than Fade (Rank 3).",Defensive,Utility,30,10,175 Mana,,Cooldown,"DEFENSIVE, MINOR, UTILITY",https://www.wowhead.com/tbc/spell=9592,
Class-wide / Shared,Ability,Fade,10941,586,Rank 4,50,"Fade out, discouraging enemies from attacking you for 10 sec. More effective than Fade (Rank 4).",Defensive,Utility,30,10,225 Mana,,Cooldown,"DEFENSIVE, MINOR, UTILITY",https://www.wowhead.com/tbc/spell=10941,
Class-wide / Shared,Ability,Fade,10942,586,Rank 5,60,"Fade out, discouraging enemies from attacking you for 10 sec. More effective than Fade (Rank 5).",Defensive,Utility,30,10,275 Mana,,Cooldown,"DEFENSIVE, MINOR, UTILITY",https://www.wowhead.com/tbc/spell=10942,
Class-wide / Shared,Ability,Fade,25429,586,Rank 6,66,"Fade out, discouraging enemies from attacking you for 10 sec. More effective than Fade (Rank 6).",Defensive,Utility,30,10,330 Mana,,Cooldown,"DEFENSIVE, MINOR, UTILITY",https://www.wowhead.com/tbc/spell=25429,
Class-wide / Shared,Ability,Fear Ward,6346,6346,,20,"Wards the friendly target against Fear. The next Fear effect used against the target will fail, using up the ward. Lasts 3 min.",Defensive,Utility,180,180,3% of base mana,,Cooldown + aura,"CC_BREAK, CC_IMMUNITY, HAS_BUFF, IMPORTANT_EXTERNAL, LONG_BUFF",https://www.wowhead.com/tbc/spell=6346,
Class-wide / Shared,Ability,Holy Fire,14914,14914,Rank 1,20,"Consumes the enemy in Holy flames that cause 
84 to 
104 Holy damage and an additional 30 Holy damage over 10 sec.",Offensive,Main,10,,85 Mana,,Cooldown,"DPS, MINOR, PVE",https://www.wowhead.com/tbc/spell=14914,
Class-wide / Shared,Ability,Holy Fire,15261,14914,Rank 2,60,"Consumes the enemy in Holy flames that cause 
375 to 
470 Holy damage and an additional 145 Holy damage over 10 sec.",Offensive,Main,10,,255 Mana,,Cooldown,"DPS, MINOR, PVE",https://www.wowhead.com/tbc/spell=15261,
Class-wide / Shared,Ability,Holy Fire,15262,14914,Rank 3,24,"Consumes the enemy in Holy flames that cause 
106 to 
131 Holy damage and an additional 40 Holy damage over 10 sec.",Offensive,Main,10,,95 Mana,,Cooldown,"DPS, MINOR, PVE",https://www.wowhead.com/tbc/spell=15262,
Class-wide / Shared,Ability,Holy Fire,15263,14914,Rank 4,30,"Consumes the enemy in Holy flames that cause 
144 to 
178 Holy damage and an additional 55 Holy damage over 10 sec.",Offensive,Main,10,,125 Mana,,Cooldown,"DPS, MINOR, PVE",https://www.wowhead.com/tbc/spell=15263,
Class-wide / Shared,Ability,Holy Fire,15264,14914,Rank 5,36,"Consumes the enemy in Holy flames that cause 
178 to 
223 Holy damage and an additional 65 Holy damage over 10 sec.",Offensive,Main,10,,145 Mana,,Cooldown,"DPS, MINOR, PVE",https://www.wowhead.com/tbc/spell=15264,
Class-wide / Shared,Ability,Holy Fire,15265,14914,Rank 6,42,"Consumes the enemy in Holy flames that cause 
219 to 
273 Holy damage and an additional 85 Holy damage over 10 sec.",Offensive,Main,10,,170 Mana,,Cooldown,"DPS, MINOR, PVE",https://www.wowhead.com/tbc/spell=15265,
Class-wide / Shared,Ability,Holy Fire,15266,14914,Rank 7,48,"Consumes the enemy in Holy flames that cause 
271 to 
340 Holy damage and an additional 100 Holy damage over 10 sec.",Offensive,Main,10,,200 Mana,,Cooldown,"DPS, MINOR, PVE",https://www.wowhead.com/tbc/spell=15266,
Class-wide / Shared,Ability,Holy Fire,15267,14914,Rank 8,54,"Consumes the enemy in Holy flames that cause 
323 to 
406 Holy damage and an additional 125 Holy damage over 10 sec.",Offensive,Main,10,,230 Mana,,Cooldown,"DPS, MINOR, PVE",https://www.wowhead.com/tbc/spell=15267,
Class-wide / Shared,Ability,Holy Fire,25384,14914,Rank 9,66,"Consumes the enemy in Holy flames that cause 
426 to 
537 Holy damage and an additional 165 Holy damage over 10 sec.",Offensive,Main,10,,290 Mana,,Cooldown,"DPS, MINOR, PVE",https://www.wowhead.com/tbc/spell=25384,
Class-wide / Shared,Ability,Inner Fire,588,588,Rank 1,12,"A burst of Holy energy fills the caster, increasing armor by 315. Each melee or ranged damage hit against the priest will remove one charge. Lasts 10 min or until 20 charges are used.",Defensive,Utility,0,600,30 Mana,,Cooldown,"BUFF, DEFENSIVE, LONG_BUFF",https://www.wowhead.com/tbc/spell=588,
Class-wide / Shared,Ability,Inner Fire,602,588,Rank 2,30,"A burst of Holy energy fills the caster, increasing armor by 720. Each melee or ranged damage hit against the priest will remove one charge. Lasts 10 min or until 20 charges are used.",Defensive,Utility,0,600,105 Mana,,Cooldown,"BUFF, DEFENSIVE, LONG_BUFF",https://www.wowhead.com/tbc/spell=602,
Class-wide / Shared,Ability,Inner Fire,1006,588,Rank 3,40,"A burst of Holy energy fills the caster, increasing armor by 945. Each melee or ranged damage hit against the priest will remove one charge. Lasts 10 min or until 20 charges are used.",Defensive,Utility,0,600,165 Mana,,Cooldown,"BUFF, DEFENSIVE, LONG_BUFF",https://www.wowhead.com/tbc/spell=1006,
Class-wide / Shared,Ability,Inner Fire,7128,588,Rank 4,20,"A burst of Holy energy fills the caster, increasing armor by 495. Each melee or ranged damage hit against the priest will remove one charge. Lasts 10 min or until 20 charges are used.",Defensive,Utility,0,600,65 Mana,,Cooldown,"BUFF, DEFENSIVE, LONG_BUFF",https://www.wowhead.com/tbc/spell=7128,
Class-wide / Shared,Ability,Inner Fire,10951,588,Rank 5,50,"A burst of Holy energy fills the caster, increasing armor by 1170. Each melee or ranged damage hit against the priest will remove one charge. Lasts 10 min or until 20 charges are used.",Defensive,Utility,0,600,235 Mana,,Cooldown,"BUFF, DEFENSIVE, LONG_BUFF",https://www.wowhead.com/tbc/spell=10951,
Class-wide / Shared,Ability,Inner Fire,10952,588,Rank 6,60,"A burst of Holy energy fills the caster, increasing armor by 1395. Each melee or ranged damage hit against the priest will remove one charge. Lasts 10 min or until 20 charges are used.",Defensive,Utility,0,600,315 Mana,,Cooldown,"BUFF, DEFENSIVE, LONG_BUFF",https://www.wowhead.com/tbc/spell=10952,
Class-wide / Shared,Ability,Inner Fire,25431,588,Rank 7,69,"A burst of Holy energy fills the caster, increasing armor by 1580. Each melee or ranged damage hit against the priest will remove one charge. Lasts 10 min or until 20 charges are used.",Defensive,Utility,0,600,375 Mana,,Cooldown,"BUFF, DEFENSIVE, LONG_BUFF",https://www.wowhead.com/tbc/spell=25431,
Class-wide / Shared,Ability,Levitate,1706,1706,,34,"Allows the caster to levitate, floating a few feet above the ground. While levitating, you will fall at a reduced speed and travel over water. Any damage will cancel the effect. Lasts 2 min.",Mobility,Utility,0,120,100 Mana,,Cooldown,"MOVEMENT, OUT_OF_COMBAT, UTILITY",https://www.wowhead.com/tbc/spell=1706,
Class-wide / Shared,Ability,Mana Burn,8129,8129,Rank 1,24,"Destroy 
198 to 
211 mana from a target. For each mana destroyed in this way, the target takes 0.5 Shadow damage.",Utility,Utility,0,,95 Mana,,Cooldown,"FILLER, RESOURCE, UTILITY",https://www.wowhead.com/tbc/spell=8129,
Class-wide / Shared,Ability,Mana Burn,8131,8129,Rank 2,32,"Destroy 
315 to 
336 mana from a target. For each mana destroyed in this way, the target takes 0.5 Shadow damage.",Utility,Utility,0,,140 Mana,,Cooldown,"FILLER, RESOURCE, UTILITY",https://www.wowhead.com/tbc/spell=8131,
Class-wide / Shared,Ability,Mana Burn,10874,8129,Rank 3,40,"Destroy 
450 to 
476 mana from a target. For each mana destroyed in this way, the target takes 0.5 Shadow damage.",Utility,Utility,0,,185 Mana,,Cooldown,"FILLER, RESOURCE, UTILITY",https://www.wowhead.com/tbc/spell=10874,
Class-wide / Shared,Ability,Mana Burn,10875,8129,Rank 4,48,"Destroy 
585 to 
620 mana from a target. For each mana destroyed in this way, the target takes 0.5 Shadow damage.",Utility,Utility,0,,225 Mana,,Cooldown,"FILLER, RESOURCE, UTILITY",https://www.wowhead.com/tbc/spell=10875,
Class-wide / Shared,Ability,Mana Burn,10876,8129,Rank 5,56,"Destroy 
748 to 
791 mana from a target. For each mana destroyed in this way, the target takes 0.5 Shadow damage.",Utility,Utility,0,,270 Mana,,Cooldown,"FILLER, RESOURCE, UTILITY",https://www.wowhead.com/tbc/spell=10876,
Class-wide / Shared,Ability,Mana Burn,25379,8129,Rank 6,63,"Destroy 
887 to 
936 mana from a target. For each mana destroyed in this way, the target takes 0.5 Shadow damage.",Utility,Utility,0,,300 Mana,,Cooldown,"FILLER, RESOURCE, UTILITY",https://www.wowhead.com/tbc/spell=25379,
Class-wide / Shared,Ability,Mana Burn,25380,8129,Rank 7,70,"Destroy 
1021 to 
1079 mana from a target. For each mana destroyed in this way, the target takes 0.5 Shadow damage.",Utility,Utility,0,,355 Mana,,Cooldown,"FILLER, RESOURCE, UTILITY",https://www.wowhead.com/tbc/spell=25380,
Class-wide / Shared,Ability,Mind Control,605,605,Rank 1,30,"Controls a humanoid mind up to level 
44, but increases the time between its attacks by 25%. Lasts up to 1 min.",Crowd Control,Utility,0,60,350 Mana,,Cooldown,"CC_HARD, FILLER",https://www.wowhead.com/tbc/spell=605,
Class-wide / Shared,Ability,Mind Control,10911,605,Rank 2,44,"Controls a humanoid mind up to level 
59, but increases the time between attacks by 25%. Lasts up to 1 min.",Crowd Control,Utility,0,60,550 Mana,,Cooldown,"CC_HARD, FILLER",https://www.wowhead.com/tbc/spell=10911,
Class-wide / Shared,Ability,Mind Control,10912,605,Rank 3,58,"Controls a humanoid mind up to level 
74, but increases the time between attacks by 25%. Lasts up to 1 min.",Crowd Control,Utility,0,60,750 Mana,,Cooldown,"CC_HARD, FILLER",https://www.wowhead.com/tbc/spell=10912,
Class-wide / Shared,Ability,Power Word: Fortitude,1243,1243,Rank 1,1,"Power infuses the target, increasing their Stamina by 3 for 30 min.",Utility,Utility,0,1800,20 Mana,,Cooldown,"BUFF, LONG_BUFF, UTILITY",https://www.wowhead.com/tbc/spell=1243,
