Item Name,Item ID,Tracking Type,Trigger Spell ID,Proc Buff Name,Proc Buff ID,On-use Buff ID,Internal Cooldown,Buff Duration,On Target,Wowhead Source,Notes
Ashtongue Talisman of Acumen,32490,Passive proc,40438,Divine Wrath,40441,,0,,No,https://www.wowhead.com/tbc/item=32490,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Ashtongue Talisman of Equilibrium,32486,Passive proc,40442,Blessing of Cenarius,40452,,0,8,No,https://www.wowhead.com/tbc/item=32486,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Ashtongue Talisman of Insight,32488,Passive proc,40482,Insight of the Ashtongue,40483,,0,,No,https://www.wowhead.com/tbc/item=32488,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Ashtongue Talisman of Lethality,32492,Passive proc,40460,Exploit Weakness,40461,,0,,No,https://www.wowhead.com/tbc/item=32492,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Ashtongue Talisman of Shadows,32493,Passive proc,40478,Power of the Ashtongue,40480,,0,,No,https://www.wowhead.com/tbc/item=32493,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Ashtongue Talisman of Swiftness,32487,Passive proc,40485,Deadly Aim,40487,,0,8,No,https://www.wowhead.com/tbc/item=32487,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Ashtongue Talisman of Valor,32485,Passive proc,40458,Fire Blood,40459,,0,12,No,https://www.wowhead.com/tbc/item=32485,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Ashtongue Talisman of Vision,32491,Passive proc,40463,Power Surge,40466,,0,10,No,https://www.wowhead.com/tbc/item=32491,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Ashtongue Talisman of Zeal,32489,Passive proc,40470,Enduring Light,40471,,0,,Yes,https://www.wowhead.com/tbc/item=32489,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Bangle of Endless Blessings,28370,Passive proc,"34210, 38334",Meditation,38346,,45,,No,https://www.wowhead.com/tbc/item=28370,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Blackened Naaru Sliver,34427,Passive proc,45355,Battle Trance,45040,,45,,No,https://www.wowhead.com/tbc/item=34427,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Commendation of Kael'thas,34473,Passive proc,45057,Evasive Maneuvers,45058,,30,10,No,https://www.wowhead.com/tbc/item=34473,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Darkmoon Card: Blue Dragon,19288,Passive proc,23688,Aura of the Blue Dragon,23684,,0,15,No,https://www.wowhead.com/tbc/item=19288,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Darkmoon Card: Crusade,31856,Passive proc,39438,Aura of the Crusader,39439,,0,10,No,https://www.wowhead.com/tbc/item=31856,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Darkmoon Card: Wrath,31857,Passive proc,39442,Aura of Wrath,39443,,0,,No,https://www.wowhead.com/tbc/item=31857,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Dragonspine Trophy,28830,Passive proc,"14049, 34774",Haste,34775,,20,,No,https://www.wowhead.com/tbc/item=28830,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Eye of Gruul,28823,Passive proc,"17371, 37705",Healing Trance,37706,,0,,No,https://www.wowhead.com/tbc/item=28823,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Eye of Magtheridon,28789,Passive proc,"34040, 34749",Recurring Power,34747,,0,10,No,https://www.wowhead.com/tbc/item=28789,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Fel Reaver's Piston,30619,Passive proc,"38299, 42082",Regeneration,38324,,15,,Yes,https://www.wowhead.com/tbc/item=30619,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Hourglass of the Unraveller,28034,Passive proc,33648,Rage of the Unraveller,33649,,45,10,No,https://www.wowhead.com/tbc/item=28034,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
